,14oz Ribeye,8oz Filet Mignon,Acai Berry Bowl,Almond Croissant,Apple Pie,Avocado Toast,Bacon Double Burger,Beef Lasagna,Beef Tacos (3pc),Black Tea,Blueberry Muffin,Breakfast Sandwich (Egg & Cheese),Bruschetta,Buffalo Wings (10pc),Butter Croissant,California Roll,Cannoli,Cappuccino,Caprese Salad,Caramel Flan,Caramel Macchiato,Chardonnay (Glass),Cheese Quesadilla,Chicken Burrito,Chicken Enchiladas,Chicken Tenders (4pc),Chicken Teriyaki Bento,Chocolate Brownie,Chocolate Chip Cookie,Churros with Chocolate,Classic Cheeseburger,Classic Margarita,Coca-Cola,Coconut Water,Cold Brew Coffee,Cold Pressed Green Juice,Corona Extra,Creamed Spinach,Crispy Chicken Sandwich,Crème Brûlée,Diet Coke,Dr Pepper,Dragon Roll,Edamame,Espresso,Everything Bagel with Cream Cheese,Fettuccine Alfredo,French Fries,Fried Calamari,Fruit Smoothie,Garlic Bread,Garlic Mashed Potatoes,Green Tea,Green Tea Mochi Ice Cream,Grilled Asparagus,Grilled Atlantic Salmon,Grilled Tofu Wrap,Guacamole,Herb-Crusted Rack of Lamb,Horchata,Hot Dog with Mustard,Hot Sake (Small),Hummus & Pita,Iced Latte,Iced Tea,Jumbo Shrimp Cocktail,Kale & Sweet Potato Salad,Kombucha (Ginger),Lemon Gelato,Loaded Nachos,Lobster Ravioli,Mac & Cheese,Margherita Pizza,Matcha Green Tea Latte,Meatball Calzone,Mexican Coke (Glass Bottle),Miso Soup,Modelo Especial,New York Cheesecake,Oatmeal with Berries,Old Fashioned Cocktail,Onion Rings,Orange Juice,Oysters on the Half Shell (6pc),Pepperoni Pizza,Peroni Beer,Philly Cheesesteak,Pork Carnitas Bowl,Pork Gyoza (6pc),Pork Ramen,Potato Gnocchi with Pesto,Premium Cabernet Sauvignon (Glass),Prosciutto & Arugula Pizza,Prosecco,Queso Dip,Quinoa Power Bowl,Red Wine (Cabernet),Red Wine (Chianti),Rice & Beans,Roasted Chickpeas,Salmon Nigiri (2pc),Sapporo Draft,Seaweed Salad,Side Salad with Vinaigrette,Spaghetti Carbonara,Spicy BBQ Bacon Burger,Spicy Jalapeno Margarita,Spicy Salsa,Spicy Tuna Roll,Sprite,Steak Fajitas,Sweet Potato Fries,Tiramisu,Tortilla Chips,Truffle Mac & Cheese,Truffle Mushroom Pizza,Tuna Sashimi (5pc),Vanilla Milkshake,Vegan Buddha Bowl,Vegan Peanut Butter Protein Ball,Vegetable Udon,White Wine (Pinot Grigio)
14oz Ribeye,0.9999999999999999,0.848628889960759,-0.15146376764101382,-0.40646995854551277,0.3104864146642821,0.0967559352373722,-0.13687358672663402,-0.01342769358143452,-0.2422914835083371,-0.2931004347150269,0.1280496670865835,0.24193493021502754,0.04739642165949675,0.023024892555070238,-0.39806650131423904,-0.03830540406514116,-0.28394132274759337,-0.505915561179273,0.1321231966260838,0.17202682442953843,-0.4750234064330193,0.5530877296798291,-0.18701236221512074,-0.08312209091962884,-0.20734639213856745,-0.09062968108250366,0.34056495869319214,-0.057994412020863056,-0.06140391176139412,-0.3795598321585603,-0.2098369722652382,0.2346854382831161,-0.2961175646132206,-0.3250483316504144,-0.28954676620780184,-0.2944915729207706,-0.09431232409749793,0.6294246805289799,-0.06142614848611268,0.6083114914683321,-0.003355231863662062,-0.2817601091992585,-0.14070356276178184,-0.3641398637080239,0.08311182435395402,0.1310691657854004,0.1231787080666862,0.03423302750510484,-0.05766775252558439,-0.356923983563167,-0.3582078526796888,0.4902526906970118,-0.43475651572792995,0.31501927244724587,0.781942319988704,0.9572943878229511,0.22084117812834966,-0.24449114630695767,0.6668012008908573,-0.1519093469479881,-0.0026747251460089994,-0.11233523301007207,0.30689706224962127,-0.3124706119938839,-0.07316455444725407,0.17515151451311878,0.2357525802283847,-0.22362602982942636,0.012421885529393299,-0.18459428404743794,-0.15384288137463675,-0.21802352003500589,-0.27334094518317753,-0.4017245656253787,-0.043126823420053494,-0.016559996987882745,0.2694615675744436,-0.006862022809510726,0.6170340778173384,-0.2232971517501193,0.5736848265641112,-0.08539281258491405,-0.40098538482139007,0.6864115035754463,-0.02621459598822981,-0.2878805452213943,-0.012112485072555579,-0.13231630811668355,-0.31752320309048226,0.2661790300534149,0.25825291932004285,0.45175321254353823,-0.030683520803107225,-0.21686738814969286,-0.2636638735096713,-0.19615830824501682,-0.3022727997083266,-0.2637021522656598,0.18188694679856357,-0.33376216667935493,-0.09083717497702341,-0.4333798047974245,-0.33794573194690486,-0.18473100509936607,0.02073205665643816,-0.12743980022786877,0.05817019796088178,0.17596023055415727,-0.06074582759738922,0.18632204140424655,-0.014152658418666073,-0.0864544896593959,-0.26496032153918286,-0.254129960229152,0.6221241532283608,0.20083480271364196,-0.2644872169524255,-0.09288378066045404,-0.3375162057785769,0.3042005173236475,0.09675011315797015,-0.2913551788301891
8oz Filet Mignon,0.848628889960759,1.0,-0.08924001799962739,-0.25007855990717287,-0.14867419632881745,0.14660867858207444,-0.05129928666449053,-0.013629214332043069,-0.05410353810768152,-0.256015760925048,-0.145217479067882,0.10906615754484997,-0.2579165076675883,-0.19458436959156206,-0.20742299101529615,-0.04312551538711946,-0.3257445839380823,-0.18435187871291597,-0.27144887729072337,-0.19968047678948211,-0.22053147044970656,0.8580129356316293,-0.08172148666566502,-0.05983824928498986,-0.05532077936203087,-0.051146978739169804,-0.02591941394325574,-0.21074952141004022,-0.2035120521977975,-0.23605274678100174,-0.149882696182193,-0.10249916060823164,-0.39133680894972833,-0.1630689898549852,-0.1787717894987848,-0.13003360154776164,-0.24110845091157354,0.809750962073129,-0.06784232502532986,0.6605826052164832,-0.3195509623009696,-0.4022708895576253,-0.08184679687604447,-0.27578904126375836,-0.25105523107832967,-0.1518861025909498,0.0704765225071268,-0.22208501317852894,-0.2299189495396247,-0.15243549715530558,-0.22589833601405007,0.7913237667123004,-0.1758814690573748,-0.16612457017924728,0.9511449039445641,0.9353869869976056,-0.09198348694334922,-0.2527292429757771,0.9429988758084286,-0.2395579914782908,0.07676630207657142,-0.1580902443063798,-0.1076715807241684,-0.19866028328897037,-0.18423232432144115,0.5820207894151149,-0.08001367267530887,-0.13922565698408013,-0.23941728056454242,-0.24616805551801213,-0.051420812624961794,-0.31879778731460223,-0.1298936994273343,-0.1923696866302418,0.055817650692281846,-0.15274843319858727,-0.17173612403684424,-0.2094883321772395,0.6202447563231244,-0.08100106844542829,0.8521886843359884,-0.29239024640256284,-0.22980948319916977,0.8483455036102084,-0.016150511314934737,-0.23218160525648907,-0.04915825464560437,-0.01909671854518332,-0.1875958787104155,-0.09403114474249638,0.025727858591384625,0.7911952213210934,0.0293109907880329,-0.20450317136396964,-0.2903128899702872,-0.07576446030513626,-0.22697876233526804,-0.22466541565510317,-0.18227621382827452,-0.11591355358347974,-0.08373162221189583,-0.2088169190959132,-0.17990847797247056,-0.18382498413177725,0.0594646019345182,-0.01942260290871783,-0.14276761885348024,-0.19262476952537805,-0.017893438973121824,-0.24495552859408443,0.08362145313177406,-0.24090925340711805,-0.277240817067608,-0.16483206153716634,0.6959596373445841,0.042560576674361666,-0.0747847598390724,-0.23794297586748117,-0.07799739382556513,-0.16229132124872533,-0.06205070756634082,-0.23821488537566318
Acai Berry Bowl,-0.15146376764101382,-0.08924001799962739,1.0000000000000002,-0.19629033908331897,-0.25083494598855854,0.152780696386144,0.016578587432180915,-0.0047186289793422235,-0.022976543245212824,-0.22101779173845168,-0.21426028114000045,0.12872514273310498,-0.25453562338575075,-0.1532453734963677,-0.1487617993004317,-0.025817148978098864,-0.1928012074260862,-0.084150862416768,-0.27698775777097767,-0.27218954551239233,-0.1423822682670683,-0.12717444018584373,-0.0364164480261885,-0.08246645417822303,-0.04769921212060587,-0.05887682295907781,-0.09660613321988824,-0.16420030122637527,-0.27829051660653015,-0.1874815016473955,-0.013458769448414402,-0.19434359425198677,-0.14936379235842645,0.9048582211167819,-0.14566694837681232,0.9242231736050381,-0.2855252407181448,-0.20653819732001075,-0.10898036167953175,-0.22465821720046256,-0.20835129553372175,-0.20783315209758707,-0.05620540570717658,-0.14255439222664448,-0.258179724786437,-0.2242382288601808,-0.03460103212155993,-0.17704091665296473,-0.23784067716586893,-0.0805797239863684,-0.06758515513937279,-0.14633431362784122,-0.11538259434797864,-0.23624665441362544,-0.1338505255138914,-0.10609610704246415,0.7287973802504731,-0.21894194908432013,-0.07872602054134926,-0.22838542496560954,0.046388328252559355,-0.21195468151123395,0.5013389947411331,-0.15072663229647226,-0.3049210578454875,-0.035571868060434435,0.7198226375828725,0.9619931609772756,-0.26741716020907585,-0.1124033469381299,-0.019236062182213687,-0.25456305992229467,-0.036248038174934646,-0.10382406896280247,0.0041970691997928414,-0.27048122610582237,-0.2504970469655241,-0.2604194981602659,-0.25577948832225206,-0.06152471379786125,-0.1653055853321822,-0.2671696086276393,-0.19099608213153782,-0.14443186544710268,-0.02514020711114728,-0.08605558359462048,-0.09144622171558553,-0.032341867371809205,-0.13363271964259035,-0.1537429192242921,-0.10296401711618869,-0.08152961098210244,-0.025581153236221274,-0.1585895698339078,-0.21880848019208657,0.9934366470708907,-0.15118955684746255,-0.11927343257057094,-0.2406992061152176,0.8581456882975855,-0.03601991794195016,-0.10277214943350148,-0.12143671403939076,0.8731632528008818,-0.0500909003568575,0.03669297071229745,-0.1645960771013495,-0.2513929058784859,-0.025113014097071208,-0.20277970142019275,0.05163312357251618,-0.2990193348142151,-0.2052724134558715,-0.15050352367982656,-0.2481440249023015,-0.05637809197613733,-0.07948064692075872,-0.19582491861180795,0.8683988229540778,0.21355006215905267,-0.11779004381246166,-0.15535289960261112
Almond Croissant,-0.40646995854551277,-0.25007855990717287,-0.19629033908331897,1.0,-0.170538736855205,-0.13535702920546527,-0.2117271990430597,-0.09387602405365546,-0.10336635052152507,0.9419758727717085,0.4940211319590438,-0.1745112971450083,-0.3228737340888791,-0.13888236420873062,0.9913851345666258,-0.22223637235999955,0.0385943732662041,0.9230333426873041,-0.28523147749464206,-0.13014885960490935,0.9525093598138927,-0.023135033703145475,-0.15088819025697048,-0.2776819141978386,-0.08358390656709097,-0.1906877196954512,-0.24548984632550738,0.27745080906030084,0.7713003880299343,0.32803146474812817,0.03556448621889119,-0.28722813113214307,0.0003078184197999878,0.07776996063112526,0.8815993954648106,0.04743002275052227,-0.10186407051091498,-0.06829205051788545,-0.17542961747029556,0.01396504854672921,-0.17251217815721298,0.09530796730995553,-0.05395582187136942,0.15806108185825254,0.5030720949091091,0.4996279122457484,-0.1602812704350051,-0.22692735551397414,-0.04921735568384408,0.8893502460334861,-0.229437837928066,-0.023029628859971,0.36951884482083097,-0.16982947459654282,-0.22963850779456102,-0.41470573037849345,-0.41909067244438725,-0.050269215276329486,-0.04450177936607359,-0.06936142299482528,-0.020784729162419413,0.008128909839009046,-0.3632896746740877,0.8657130628078228,0.10357844784283254,0.32058280014669593,-0.43045102854797507,-0.03832474644826796,-0.11306017019908507,0.263628851744514,0.10896142460850605,0.028229453423352535,-0.29939434548429894,0.9198269618663026,0.05753993244380427,-0.12137823417849711,-0.2949375884802469,-0.03666876526449178,0.004523069725741055,0.6753788869738259,-0.0373571503741437,0.11712700845829455,0.9476517662949148,0.04079837758267211,0.031784125039675634,-0.299007424557162,-0.21684800446643732,-0.1847120324554179,0.20634851660953082,-0.3343552461740621,-0.20101319308119808,0.1414505950100591,0.088104798294353,-0.2944867534701586,-0.005392328661320486,-0.13870745342184992,-0.17593775839914913,-0.24607485454223027,-0.2853508110417589,0.1257175942861673,-0.18940931740600536,0.316957018966512,0.35471657438752585,0.012341143330445663,-0.05747783182950631,-0.0940357115730571,-0.2532131335407148,-0.2615078941961552,-0.12907838374981606,-0.20339505532699154,-0.06251959441016751,0.13176005314660022,-0.09918106963101933,-0.10710965114406334,0.0009739279195729832,-0.14872461137347853,0.1802625910589919,0.3044437448710843,0.10220437572577737,-0.23337782589031833,-0.19173226513591302,-0.25632265470171217
Apple Pie,0.3104864146642821,-0.14867419632881745,-0.25083494598855854,-0.170538736855205,1.0,-0.3265674253493267,-0.14705434164831727,-0.2827183833063309,-0.4239071659457737,-0.05553098503116956,0.32341070722537746,-0.05601993794077746,0.5913265451850376,0.5576811847926143,-0.25928958421964293,-0.2513953251672073,0.3317297291636296,-0.4179551263704279,0.7447025989108806,0.7853845076398784,-0.3138237791356705,-0.2258389831715711,-0.32440818124079396,-0.19174192321912895,-0.3704007838893855,-0.026252038542398035,0.3540077851967038,0.6577395103533914,0.19944107183427912,0.03854061486612208,0.10276230965758565,0.5023160830165305,0.4762831724949523,-0.25881366382845217,-0.24341586969082132,-0.27480327475500615,0.4145901077257796,0.035637401419935655,0.08763098791788496,0.28724919861098175,0.7760268034865273,0.5747650566022927,-0.32575367868179655,-0.15323446322104245,0.47477231049671265,0.34958727434987114,-0.18626757854371273,0.6407375371804755,0.4824557714899175,-0.26509387549239755,-0.18372008210131166,-0.19244885743049034,-0.30851374783665964,0.8604313092041479,-0.06724229583651223,0.07487178160550509,0.3594117891879355,0.13526280030366175,-0.2991214797747184,0.27020341568402334,-0.029662768488832952,0.016170683237692798,0.6390316956744362,-0.26799864024866493,0.6257331166528333,-0.41584299441320605,0.36065739018058246,-0.1868451073516886,0.6505853819546132,0.46684774799070816,-0.36458970361677895,0.5566011715805066,-0.28638309847930027,-0.19112608383959961,-0.3897586536679826,0.38167515646752337,0.6957037890523414,0.5185579617781042,0.3790711909145273,-0.37479922636357044,-0.1751161260484437,0.755046154428958,-0.2758514254092067,0.002352678217121821,-0.24706035808281748,-0.04438792946783993,0.15142692223171733,-0.3543490136598099,-0.24107836998968207,0.3777545401352633,0.15715037166845916,-0.3390110817786927,-0.30367985375891754,-0.012563766852469627,0.19195877727900726,-0.33917816667384326,-0.11905656624195138,-0.07892680588625349,0.6368757713964717,-0.3230936001924272,-0.267112056731559,-0.32984813243620986,-0.10273551380108568,0.04287407004143299,-0.2600645059302154,-0.11804096057995098,0.25163930898378367,0.6958198165179805,-0.35037767705236583,0.9450607626059301,-0.3815386332656188,0.6886467620646628,0.21059866949428405,-0.07359629464048319,0.25643293511394877,-0.0017391725731094564,-0.4308995303013153,0.6710533993348259,-0.4326498071435066,0.8270249699080819,-0.006856556632737498,-0.08592165946943789
Avocado Toast,0.0967559352373722,0.14660867858207444,0.152780696386144,-0.13535702920546527,-0.3265674253493267,1.0,0.3314203755830238,-0.13590691220316725,0.055748512698727035,0.05229634086749868,0.1679584718873661,0.9196875518868748,-0.045732311682482686,-0.12197160743452595,-0.027516041520817214,0.11957172107317196,-0.2120933717547386,-0.032786019978964964,-0.16457017305984215,-0.3319663777345052,0.00406891305768492,0.04279270970911792,0.03127400987655313,0.09130288654989989,-0.015222051461228313,0.18797162813757107,-0.14373048100148764,-0.5599228465409174,0.0560737962005714,-0.42599300939890034,-0.21170350308584016,-0.1872631748628958,-0.2551782305272777,-0.09525469996667046,0.2681931509411898,-0.0691988859709604,-0.26367094667915697,-0.037373189316398644,0.1165420266980492,-0.22156039043457462,-0.2332568694289356,-0.3564490509813764,-0.0039483406155328485,-0.23621465752644413,0.05618627374845736,0.12181367011105793,-0.12540979346817716,-0.15518894202658612,-0.28425319771207,0.22194301001226685,0.28585022072525507,0.04508809380750582,-0.30117050064903084,-0.27588134389808977,0.15667699749391648,0.21591410721625373,0.08128265473750247,-0.17204959045077833,0.03324926845626551,-0.21661510206269757,-0.20243485408943432,-0.22212317174597582,-0.04669721137330867,0.34275291044582246,-0.4565708040876244,-0.1959958415584633,0.10031282131423526,-0.03351833708486589,-0.23110127045133522,-0.49615465506260803,-0.2888503795438472,-0.32135995969045966,0.3166853709584065,-0.029594337787819835,-0.2140846367356125,-0.24941897644297983,-0.13830056569724516,-0.3553271220555611,-0.21225950608476468,0.4384113082481944,0.03813834942272766,-0.46811354498672497,0.17404440879197064,-0.1888077420475313,-0.2570078101433498,0.2933621957313754,0.17262362200267412,0.062355928251663945,-0.24542123690037984,-0.029215896386888457,-0.21766871674584576,-0.10259899585196557,-0.28405134119153574,0.14073086083258618,-0.23446221255453317,0.1453220486480551,0.008183374852996098,0.09769933287854832,-0.1897749220046066,-0.08184050245797955,0.13879386931552187,-0.26391834598788727,-0.37531081729432186,-0.17465595828334143,-0.17342607701048052,0.0413107651526082,-0.15900422039665282,-0.18812034157890534,0.05312161796683588,-0.34870106050078964,-0.06542866492439844,-0.4336330589276746,-0.05871468011806929,-0.03257733962077461,-0.18362850159610672,-0.1950804281895358,-0.17318818444985126,-0.6092548574078132,-0.017502072963508558,-0.220365253427512,-0.04582890372350875,0.15220108598967885
Bacon Double Burger,-0.13687358672663402,-0.05129928666449053,0.016578587432180915,-0.2117271990430597,-0.14705434164831727,0.3314203755830238,1.0,0.010698258882591537,0.028074402776431,-0.2370615961536865,-0.3042935608605493,0.12955837537929846,-0.25026529464496994,0.7043552655589174,-0.18069413525057815,-0.0681961049850718,-0.2657237258432778,-0.04629579417300633,-0.3068486903574107,-0.36604104779019836,-0.04913461192213747,-0.06881088965783361,0.04428909490103498,-0.0015134823470744976,-0.007199130004083905,0.9591222885515236,-0.1656731263652062,-0.10187838894536014,-0.32979437275977774,-0.17554962857931872,0.7388275931669149,-0.2686442014179287,0.5190327444690503,-0.06739691277506545,-0.15840990509014022,-0.07340331287080559,-0.2981299917131357,-0.1835676814136148,0.918046275515952,-0.2965145943755635,0.2713000230811476,0.4240481932242138,-0.018289131334749652,-0.15162373281732106,-0.33063516277843574,-0.301601521700003,-0.02721107584369449,0.2771626788439216,-0.28780682685920966,0.004466968585720293,-0.006502742573173723,-0.118872615113379,-0.07998357256616306,-0.3298769295429625,-0.11475363299784723,-0.0745114277799411,-0.16301327713613467,-0.17093447706053602,-0.013293095232488773,-0.21887960291738778,-0.22905330748677133,-0.2004307532838207,-0.24044387361248643,-0.04332766262900453,0.20470515107269718,-0.01229954205976189,-0.16698013786700744,-0.10190552526100789,-0.31734717777648436,0.3569278589077424,0.007505496488193611,0.42816000927798076,0.022912862106730658,-0.12443610306688202,0.03250260071176225,-0.29396207289044246,-0.3080747072525904,-0.30006180630624485,-0.2536220455349913,-0.16162048551067432,-0.06788976892482068,0.19588774981874893,-0.05690631233102894,-0.1673403688185202,0.01965183645345256,-0.05440217105671189,0.947494909454212,0.02881888843959981,-0.09061161275784763,-0.1659856824710691,-0.09463014275417844,0.034457104305883966,0.01210164241836802,-0.11562205112215854,-0.21894748958484905,0.023812468595175898,-0.12990605519283932,-0.13274816220466706,-0.3034803399970319,-0.054139261556397006,-0.014541657343112979,-0.06079025913718026,-0.16297182759894627,-0.16580702999286945,0.012579624157684426,0.8822717740882305,-0.20543215811840193,-0.33201423227591176,0.005398609674994635,-0.02004321039914428,0.07955977304658014,0.2506554622693142,-0.20648594902602158,-0.14898191854843246,-0.2478832167483363,-0.057908466755229926,-0.038175387789520156,-0.09600795885116045,0.039792504721580066,-0.33283618270223636,-0.05920072895263032,-0.035900400859229124
Beef Lasagna,-0.01342769358143452,-0.013629214332043069,-0.0047186289793422235,-0.09387602405365546,-0.2827183833063309,-0.13590691220316725,0.010698258882591537,1.0000000000000002,-0.08329727634257315,-0.08896662243416903,0.05591342457463416,-0.09629167318845354,0.07166701924129312,-0.13768634690099354,-0.07576395340199188,-0.03697211603423188,-0.15664390777678608,-0.136723874033846,0.08249366332099424,-0.35365147096698507,-0.18055316970147367,-0.25863707041772394,-0.03191571817977329,-0.06916462290464578,-0.053542725400254176,0.0146716710932209,0.1589436276688138,-0.4045883880842196,-0.02517664267331378,-0.4333134783124087,-0.049193359110381196,-0.1379499892330539,-0.339876777296238,-0.1203007436853921,-0.05465628411861144,-0.11820677269110269,-0.4177493907120152,-0.32942864524274557,0.00013695797395998216,-0.3706355521197707,-0.3009217452476163,-0.38865977739209906,-0.00012327939889085135,-0.2347820872971994,-0.020028296288082267,0.04249224783640507,0.9876648591648798,-0.2377320628655527,0.11491194349395625,-0.24045350976350777,0.04805434808178659,-0.302244669531147,-0.2785391246504626,-0.21240375778046894,-0.20366698638519407,0.013018983656968904,-0.0010280101231347604,-0.43609508270059144,-0.026376727380656086,-0.44792535308514664,-0.014377533316591726,-0.21764370868580812,-0.09977564488299484,-0.071280169431259,-0.40294927970821515,-0.10901533503995518,-0.005564558488889952,-0.09576450691263162,-0.1166061394300731,-0.2831929422271414,0.9478873399759207,-0.4050268969577091,0.2809899840516519,-0.2498899493202913,0.9677673570798359,-0.42346566912491423,-0.22552941343142602,-0.4424623954942707,-0.3746092370641569,0.004170160025996281,-0.27622579026522964,-0.4021699659671618,-0.10418054225703827,-0.1316042944947907,0.9759293480079324,-0.03187141829355078,-0.09414034576375967,-0.02476381612426404,-0.165863187041602,-0.01248797564162363,0.8812448206438948,-0.0569743103626798,0.957516905957452,0.29548602075859776,-0.4547788845286141,-0.0055353884094786615,0.4222412937726186,0.3826521111181686,-0.2670125677980805,-0.15214619426337342,-0.0651726927248049,-0.20530102824709037,-0.35113187884294544,-0.17688033123548166,0.9702242586464184,0.0776932161646712,-0.11194393581421906,-0.33508021864877896,0.04794269952530117,-0.22422943576254895,0.23196272656216566,-0.39894024323070293,-0.0023270549788625104,-0.41242669776286056,-0.36200503010118956,0.9386545849545084,-0.03352543528637192,-0.3882447649690455,-0.09070145981944669,-0.16270383652785758,0.06759821999208532,0.30860017268981843
Beef Tacos (3pc),-0.2422914835083371,-0.05410353810768152,-0.022976543245212824,-0.10336635052152507,-0.4239071659457737,0.055748512698727035,0.028074402776431,-0.08329727634257315,1.0,-0.12507478004409905,-0.25117339454977156,-0.04897261621080101,-0.35858354459366837,-0.3048220374442885,-0.07645803551953478,-0.029663266103626126,-0.2537889484761267,-0.0022530913173972877,-0.35727575367278147,0.052796309983650924,-0.04146738373083142,-0.05129116872335639,0.9826361599595491,0.9460666043051552,0.9919724465967826,-0.0284894318178159,-0.29478802528466974,-0.42128285546542027,-0.22731619679755832,0.41176919057268874,-0.10002589408425674,0.4697826007157157,-0.2503531962477537,-0.05204966463834991,-0.049354075431404305,-0.04301533116764062,0.5248971967732856,-0.17216174265866122,-0.060116376116245096,-0.2929052457316737,-0.27760066636240455,-0.29849037716983695,-0.05872211262031945,-0.12714842500211485,-0.2948388412591344,-0.2241300366158384,-0.10790476847441766,-0.2562317636887416,-0.37375535325178044,-0.10115814832926524,0.03640013616377391,-0.07666887462932478,-0.06199740523904998,-0.42694618497343756,-0.08260273265931717,-0.10646020274876028,-0.21768915094288313,0.7307939097779355,-0.045862108614498145,0.6260210630968157,0.07637251468101075,-0.18381116565052477,-0.34593151323232735,-0.052205498773977614,-0.31013475981025995,-0.00880540299476244,-0.2130265024052084,-0.06931399950059101,-0.3684902480519328,-0.304665052282822,-0.05331532207773912,-0.2064987741069818,0.04835617606795437,-0.12181992532624436,-0.06915622729870849,0.5851197409187295,-0.37004996787133804,0.3956284022232179,-0.31682432260967325,0.05396589546419395,-0.08058681404182541,-0.42839962030697576,-0.0583238233981194,-0.18776110703359827,-0.1269798896032588,0.02887925359861955,-0.09727808166981541,0.9810880935598524,-0.12597850977842123,-0.2987396123393927,-0.2462325179756477,-0.06087300506245043,-0.10260993306864989,-0.07132784031978205,0.6679296154337635,0.00971275760359214,-0.0328084153971005,-0.07396721928080507,0.35446273926851724,-0.03958652004838758,-0.024952261921117307,-0.06920763406013006,-0.16421957908426832,-0.20578628504363797,-0.13848782130460852,0.02190707451563366,0.7144254500629301,0.27168633883811427,0.012336858501666671,-0.381208854205357,0.8274261570723525,-0.4011413158598163,-0.20903783869741702,0.8461818283536413,-0.2836630531946106,-0.17053904545919488,-0.02964909132215942,-0.4029408922125661,0.01737033142761777,-0.3917489268130268,-0.16755969074610272,-0.04992006099837068
Black Tea,-0.2931004347150269,-0.256015760925048,-0.22101779173845168,0.9419758727717085,-0.05553098503116956,0.05229634086749868,-0.2370615961536865,-0.08896662243416903,-0.12507478004409905,0.9999999999999998,0.7406579492726233,0.10554453128886893,-0.24820762802534954,-0.12948138462089515,0.9460405759262119,-0.21218767577014036,-0.06361712876016874,0.7832115174219365,-0.17869996947355585,-0.06099959584065527,0.8498226469942585,-0.15286905630045927,-0.14199246310611424,-0.22081116429777367,-0.10226482434780257,-0.2006565231148605,-0.12587449641737866,0.15104284667413254,0.9272399263723732,0.12793989308174766,-0.04635003954871364,-0.1412690602162867,-0.051178709398985334,-0.06067325811583475,0.9628276641162336,-0.07949421342598953,-0.0988656659863392,-0.17446109472332225,-0.1706823505322505,-0.09022519276927245,-0.0832916652674193,0.010993500152758073,-0.11795657552511138,-0.004600171808230816,0.7284162045969278,0.7400899431650081,-0.12312098814332569,-0.12379301507584814,-0.10069567339747987,0.8457589603461055,-0.2588098207983031,-0.15855520898105632,0.11944505579267922,-0.05917349103893779,-0.2554682030224464,-0.31649298696854206,-0.2758588157581327,-0.0881435011831817,-0.14790352571330964,-0.09321063329654317,0.011021414320123712,-0.07861306098448578,-0.21539052641163822,0.9437725971024675,0.04614009987396778,0.07645074971732718,-0.2807613476244298,-0.12096933117730026,-0.11564389004699341,0.10715974374101475,0.022956367971074754,-0.028764290932410952,-0.31424087694261155,0.8112079975341302,0.0007405622530969602,-0.10994045288902338,-0.17024057812161658,-0.042942734778221,-0.0793673800594599,0.8065639986398199,-0.16489189239361826,0.05516875754636183,0.952632143350751,-0.07913086808722003,-0.002070980409132575,-0.29357958160005176,-0.21931749937498785,-0.16698544797763787,0.02377763108570511,-0.21133295521306367,-0.1166062818703254,-0.04344916769782683,0.02932691362017191,-0.290030553241648,-0.05328728437854817,-0.19165915864180494,-0.23331875389463597,-0.2573302258003619,-0.15126620430835144,-0.040909866501129585,-0.1905785348430184,0.08780827208842729,0.11887974915975567,-0.07893722512154411,-0.09538457798343673,-0.1411303195146525,-0.1591375780022352,-0.13378636625829543,-0.15452481563483683,-0.08599635081435689,-0.05537538078841832,0.03865302256252767,-0.16354981759387965,-0.14029414842087576,-0.10171181810131712,-0.0807655550469849,0.017983666770485747,0.17968677813323475,-0.06616807437860403,-0.1045721808004609,-0.16033103240788116,-0.278634692446719
