model,feature,importance
Random Forest,is_odd_hour,0.0877581920722947
Random Forest,order_hour,0.0679726183647879
Random Forest,mean_abs_price_deviation_pct,0.0625798678793814
Random Forest,max_abs_price_deviation_pct,0.0624012140932849
Random Forest,mean_price_deviation_pct,0.0537740114675083
Random Forest,void_line_rate,0.0484857429113342
Random Forest,min_line_total,0.0409875320845243
Random Forest,void_reason_exists,0.038230990240243
Random Forest,is_voided_order,0.037364646688071
Random Forest,max_discount_rate,0.0324904375857576
Random Forest,void_line_count,0.0304499431152906
Random Forest,mean_discount_rate,0.0288811837918751
Random Forest,n_unique_items,0.0256382549912439
Random Forest,avg_amount_per_item,0.0256378485117854
Random Forest,cashier_avg_discount_rate,0.024688117449852
Random Forest,avg_line_total,0.0210334936029818
Random Forest,cashier_amount_zscore,0.0189693666219821
Random Forest,cashier_void_rate,0.0180913307347851
Random Forest,basket_size,0.017627852773179
Random Forest,cashier_discount_order_rate,0.0167923680267447
Random Forest,unique_item_ratio,0.0164485826084405
Random Forest,total_amount,0.0161394124077397
Random Forest,cashier_flagged,0.0151025661416092
Random Forest,customer_avg_basket_size,0.0147098537847978
Random Forest,customer_std_order_amount,0.0143107670053025
Random Forest,estimated_discount_amount,0.0133698159852656
Random Forest,is_dinner,0.0126611805649817
Random Forest,max_line_total,0.0120633331596976
Random Forest,min_item_price,0.0095917185025736
Random Forest,customer_avg_order_amount,0.0094456455540206
Random Forest,customer_total_orders,0.008333343855068
Random Forest,customer_basket_deviation,0.0067595167965233
Random Forest,customer_amount_zscore,0.0054463368142592
Random Forest,n_unique_categories,0.0050514406614413
Random Forest,cashier_total_orders,0.0049199648727034
Random Forest,max_abs_demand_zscore,0.004465519364327
Random Forest,max_item_price,0.0042487545095506
Random Forest,has_discount_order,0.0041826188725601
Random Forest,avg_item_price,0.0041792120231102
Random Forest,mean_demand_zscore,0.0041788953431347
Random Forest,discount_line_rate,0.0041539129446486
Random Forest,is_lunch,0.0037430673322629
Random Forest,cashier_std_order_amount,0.0035674263414087
Random Forest,discount_line_count,0.0032788427231454
Random Forest,cashier_avg_order_amount,0.0027392673499038
Random Forest,table_number,0.0024663228648438
Random Forest,is_morning,0.0023038854930564
Random Forest,actual_visits,0.0022816628536081
Random Forest,order_month,0.0020939185816534
Random Forest,mean_daily_item_quantity,0.0020389917126027
Random Forest,expected_visits,0.0019795943811146
Random Forest,cashier_shift_afternoon,0.0018908008541248
Random Forest,max_daily_item_quantity,0.0016471145283986
Random Forest,cashier_shift_evening,0.0014494910172827
Random Forest,order_dayofweek,0.0014340764431738
Random Forest,time_preference_dinner,0.0013139761237047
Random Forest,cashier_shift_morning,0.0012458584052073
Random Forest,customer_visit_ratio,0.0010486621152296
Random Forest,restaurant_type_Cafe,0.0010145678593376
Random Forest,customer_visit_gap,0.0008119578743865
Random Forest,main_category_Main,0.0007157459056322
Random Forest,price_tier_mid,0.0006362016863429
Random Forest,time_preference_lunch,0.0006274496624731
Random Forest,restaurant_type_Italian,0.0005975031589768
Random Forest,payment_method_cash,0.00057707134912
Random Forest,payment_method_card,0.0004618916378677
Random Forest,day_preference_any,0.0004540538136154
Random Forest,archetype_occasional,0.000389851766255
Random Forest,restaurant_type_Mexican,0.0003878247585945
Random Forest,restaurant_type_American,0.0003874743432764
Random Forest,restaurant_type_Healthy_Vegan,0.0003827064575338
Random Forest,day_preference_weekday,0.0003739665054556
Random Forest,time_preference_flexible,0.0003726912785258
Random Forest,time_preference_morning,0.0003612074869077
Random Forest,restaurant_type_Japanese,0.0003588389241404
Random Forest,price_tier_premium,0.0003465846729394
Random Forest,main_category_Beverage,0.0003434765922179
Random Forest,price_tier_budget,0.0003338319313994
Random Forest,day_preference_weekend,0.0003322257522095
Random Forest,main_category_Side,0.000303139372531
Random Forest,basket_size_bias_medium,0.0002931962937761
Random Forest,main_category_Alcohol,0.0002779920360792
Random Forest,archetype_infrequent,0.0002695047176377
Random Forest,is_weekend,0.0002682454687051
Random Forest,main_category_Food,0.0002680401528139
Random Forest,payment_method_mobile,0.0002661059934067
Random Forest,restaurant_type_Steakhouse,0.0002656931803945
Random Forest,basket_size_bias_large,0.0002524392129593
Random Forest,archetype_regular,0.0002441351515873
Random Forest,basket_size_bias_small,0.0002317261520531
Random Forest,main_category_Dessert,0.0001942965285872
Random Forest,main_category_Bakery,0.0001885080436651
Random Forest,main_category_Appetizer,0.0001595994326482
Random Forest,archetype_one_timer,0.0001098909465601
