model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
Logistic Regression,val,balanced_f1,0.9790501727685567,0.9371428571428572,0.9213483146067416,0.9291784702549575,0.9723538613030976,0.9993170515517098,9268,11,14,164,11,14,175,0.018504811250925242,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.84,0.9438202247191011,168
Logistic Regression,test,balanced_f1,0.9790501727685567,0.9578313253012049,0.9034090909090909,0.9298245614035088,0.9732345867015214,0.9992752345693523,9275,7,17,159,7,17,166,0.017551279340241067,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Logistic Regression,val,precision_floor_60,0.46211773422183633,0.6197183098591549,0.9887640449438202,0.7619047619047619,0.9723538613030976,0.9993170515517098,9171,108,2,176,108,2,284,0.030030665115787246,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.84,0.9438202247191011,168
Logistic Regression,test,precision_floor_60,0.46211773422183633,0.6028368794326241,0.9659090909090909,0.74235807860262,0.9732345867015214,0.9992752345693523,9170,112,6,170,112,6,282,0.029816028758722773,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Logistic Regression,val,precision_floor_65,0.5860105958064885,0.650375939849624,0.9719101123595506,0.7792792792792793,0.9723538613030976,0.9993170515517098,9186,93,5,173,93,5,266,0.028127313101406367,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.84,0.9438202247191011,168
Logistic Regression,test,precision_floor_65,0.5860105958064885,0.6550387596899225,0.9602272727272727,0.7788018433179723,0.9732345867015214,0.9992752345693523,9193,89,7,169,89,7,258,0.02727849439627828,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Logistic Regression,val,precision_floor_70,0.7930547674243286,0.7413793103448276,0.9662921348314607,0.8390243902439024,0.9723538613030976,0.9993170515517098,9219,60,6,172,60,6,232,0.02453209262979803,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.84,0.9438202247191011,168
Logistic Regression,test,precision_floor_70,0.7930547674243286,0.7612612612612613,0.9602272727272727,0.8492462311557789,0.9732345867015214,0.9992752345693523,9229,53,7,169,53,7,222,0.023472192852611547,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Random Forest,val,balanced_f1,0.2545094002249068,0.9385474860335196,0.9438202247191011,0.9411764705882353,0.9772821751397616,0.9994326926453475,9268,11,10,168,11,10,179,0.018927778365232104,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
Random Forest,test,balanced_f1,0.2545094002249068,0.9649122807017544,0.9375,0.9510086455331412,0.9769731898177996,0.9993719515778339,9276,6,11,165,6,11,171,0.018079932332417,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Random Forest,val,precision_floor_60,0.06895005889630028,0.6232394366197183,0.9943820224719101,0.7662337662337663,0.9772821751397616,0.9994326926453475,9172,107,1,177,107,1,284,0.030030665115787246,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
Random Forest,test,precision_floor_60,0.06895005889630028,0.6404494382022472,0.9715909090909091,0.7720090293453724,0.9769731898177996,0.9993719515778339,9186,96,5,171,96,5,267,0.02823006978219497,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Random Forest,val,precision_floor_65,0.08147720211053051,0.6591760299625468,0.9887640449438202,0.7910112359550562,0.9772821751397616,0.9994326926453475,9188,91,2,176,91,2,267,0.02823305487998308,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
Random Forest,test,precision_floor_65,0.08147720211053051,0.6895161290322581,0.9715909090909091,0.8066037735849056,0.9769731898177996,0.9993719515778339,9205,77,5,171,77,5,248,0.026221188411926413,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Random Forest,val,precision_floor_70,0.10603074190977253,0.7032520325203252,0.9719101123595506,0.8160377358490566,0.9772821751397616,0.9994326926453475,9206,73,5,173,73,5,246,0.02601247752987205,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
Random Forest,test,precision_floor_70,0.10603074190977253,0.7625570776255708,0.9488636363636364,0.8455696202531645,0.9769731898177996,0.9993719515778339,9230,52,9,167,52,9,219,0.023155001057305984,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Extra Trees,val,balanced_f1,0.3829671138404585,0.9382022471910112,0.9382022471910112,0.9382022471910112,0.9638719492712874,0.9991965668520558,9268,11,11,167,11,11,178,0.018822036586655388,1.0,0.2808988764044944,50,0.98,0.550561797752809,98,0.845,0.949438202247191,169
Extra Trees,test,balanced_f1,0.3829671138404585,0.9647058823529412,0.9318181818181818,0.9479768786127167,0.97949967337455,0.999504784431255,9276,6,12,164,6,12,170,0.017974201733981815,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
Extra Trees,val,precision_floor_60,0.1049602527514065,0.6529850746268657,0.9831460674157303,0.7847533632286996,0.9638719492712874,0.9991965668520558,9186,93,3,175,93,3,268,0.028338796658559796,1.0,0.2808988764044944,50,0.98,0.550561797752809,98,0.845,0.949438202247191,169
Extra Trees,test,precision_floor_60,0.1049602527514065,0.6628787878787878,0.9943181818181818,0.7954545454545454,0.97949967337455,0.999504784431255,9193,89,1,175,89,1,264,0.027912877986889406,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
Extra Trees,val,precision_floor_65,0.1049602527514065,0.6529850746268657,0.9831460674157303,0.7847533632286996,0.9638719492712874,0.9991965668520558,9186,93,3,175,93,3,268,0.028338796658559796,1.0,0.2808988764044944,50,0.98,0.550561797752809,98,0.845,0.949438202247191,169
Extra Trees,test,precision_floor_65,0.1049602527514065,0.6628787878787878,0.9943181818181818,0.7954545454545454,0.97949967337455,0.999504784431255,9193,89,1,175,89,1,264,0.027912877986889406,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
Extra Trees,val,precision_floor_70,0.19705244832953017,0.821256038647343,0.9550561797752809,0.8831168831168831,0.9638719492712874,0.9991965668520558,9242,37,8,170,37,8,207,0.02188854816538014,1.0,0.2808988764044944,50,0.98,0.550561797752809,98,0.845,0.949438202247191,169
Extra Trees,test,precision_floor_70,0.19705244832953017,0.8877005347593583,0.9431818181818182,0.9146005509641874,0.97949967337455,0.999504784431255,9261,21,10,166,21,10,187,0.019771621907379997,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
HistGradientBoosting,val,balanced_f1,0.9154568847212636,0.9488636363636364,0.9382022471910112,0.943502824858757,0.9812163567090325,0.9995059521863432,9270,9,11,167,9,11,176,0.018610553029501955,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.855,0.9606741573033708,171
HistGradientBoosting,test,balanced_f1,0.9154568847212636,0.9759036144578314,0.9204545454545454,0.9473684210526315,0.9751524330497,0.9992678889737713,9278,4,14,162,4,14,166,0.017551279340241067,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.825,0.9375,165
HistGradientBoosting,val,precision_floor_60,0.05005036111411193,0.6132404181184669,0.9887640449438202,0.7569892473118279,0.9812163567090325,0.9995059521863432,9168,111,2,176,111,2,287,0.030347890451517395,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.855,0.9606741573033708,171
HistGradientBoosting,test,precision_floor_60,0.05005036111411193,0.6218181818181818,0.9715909090909091,0.7583148558758315,0.9751524330497,0.9992678889737713,9178,104,5,171,104,5,275,0.029075914569676464,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.825,0.9375,165
HistGradientBoosting,val,precision_floor_65,0.10812416505672082,0.6730769230769231,0.9831460674157303,0.7990867579908676,0.9812163567090325,0.9995059521863432,9194,85,3,175,85,3,260,0.02749286242994607,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.855,0.9606741573033708,171
HistGradientBoosting,test,precision_floor_65,0.10812416505672082,0.6910569105691057,0.9659090909090909,0.8056872037914692,0.9751524330497,0.9992678889737713,9206,76,6,170,76,6,246,0.02600972721505604,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.825,0.9375,165
HistGradientBoosting,val,precision_floor_70,0.2117115516401963,0.7424892703862661,0.9719101123595506,0.8418491484184915,0.9812163567090325,0.9995059521863432,9219,60,5,173,60,5,233,0.024637834408374748,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.855,0.9606741573033708,171
HistGradientBoosting,test,precision_floor_70,0.2117115516401963,0.751131221719457,0.9431818181818182,0.836272040302267,0.9751524330497,0.9992678889737713,9227,55,10,166,55,10,221,0.023366462254176358,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.825,0.9375,165
XGBoost,val,balanced_f1,0.9601278305053711,0.9813664596273292,0.8876404494382022,0.9321533923303835,0.9808942307575613,0.9995101903416074,9276,3,20,158,3,20,161,0.017024426350851222,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.845,0.949438202247191,169
XGBoost,test,balanced_f1,0.9601278305053711,0.99375,0.9034090909090909,0.9464285714285714,0.9785803593646599,0.9993823578382403,9281,1,17,159,1,17,160,0.016916895749629943,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
XGBoost,val,precision_floor_60,0.14225661754608154,0.6210526315789474,0.9943820224719101,0.7645788336933045,0.9808942307575613,0.9995101903416074,9171,108,1,177,108,1,285,0.030136406894363962,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.845,0.949438202247191,169
XGBoost,test,precision_floor_60,0.14225661754608154,0.6732283464566929,0.9715909090909091,0.7953488372093023,0.9785803593646599,0.9993823578382403,9199,83,5,171,83,5,254,0.026855572002537534,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
XGBoost,val,precision_floor_65,0.2966877520084381,0.6944444444444444,0.9831460674157303,0.813953488372093,0.9808942307575613,0.9995101903416074,9202,77,3,175,77,3,252,0.026646928201332347,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.845,0.949438202247191,169
XGBoost,test,precision_floor_65,0.2966877520084381,0.7522522522522522,0.9488636363636364,0.8391959798994975,0.9785803593646599,0.9993823578382403,9227,55,9,167,55,9,222,0.023472192852611547,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
XGBoost,val,precision_floor_70,0.41215917468070984,0.7554585152838428,0.9719101123595506,0.8501228501228502,0.9808942307575613,0.9995101903416074,9223,56,5,173,56,5,229,0.024214867294067886,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.845,0.949438202247191,169
XGBoost,test,precision_floor_70,0.41215917468070984,0.8106796116504854,0.9488636363636364,0.8743455497382199,0.9785803593646599,0.9993823578382403,9243,39,9,167,39,9,206,0.021780503277648553,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
LightGBM,val,balanced_f1,0.12770750364192582,0.9431818181818182,0.9325842696629213,0.9378531073446328,0.9777322041333365,0.9992680100407952,9269,10,12,166,10,12,176,0.018610553029501955,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
LightGBM,test,balanced_f1,0.12770750364192582,0.9640718562874252,0.9147727272727273,0.9387755102040817,0.9790916854487497,0.9994509167303285,9276,6,15,161,6,15,167,0.017657009938676253,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.835,0.9488636363636364,167
LightGBM,val,precision_floor_60,3.192744680818025e-05,0.6068965517241379,0.9887640449438202,0.7521367521367521,0.9777322041333365,0.9992680100407952,9165,114,2,176,114,2,290,0.03066511578724754,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
LightGBM,test,precision_floor_60,3.192744680818025e-05,0.6068965517241379,1.0,0.7553648068669528,0.9790916854487497,0.9994509167303285,9168,114,0,176,114,0,290,0.030661873546204272,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.835,0.9488636363636364,167
LightGBM,val,precision_floor_65,0.00022046199866851432,0.6705426356589147,0.9719101123595506,0.7935779816513762,0.9777322041333365,0.9992680100407952,9194,85,5,173,85,5,258,0.02728137887279264,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
LightGBM,test,precision_floor_65,0.00022046199866851432,0.68,0.9659090909090909,0.7981220657276995,0.9790916854487497,0.9994509167303285,9202,80,6,170,80,6,250,0.026432649608796786,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.835,0.9488636363636364,167
LightGBM,val,precision_floor_70,0.004652311959920117,0.8066037735849056,0.9606741573033708,0.8769230769230769,0.9777322041333365,0.9992680100407952,9238,41,7,171,41,7,212,0.02241725705826372,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.85,0.9550561797752809,170
LightGBM,test,precision_floor_70,0.004652311959920117,0.8564102564102564,0.9488636363636364,0.9002695417789758,0.9790916854487497,0.9994509167303285,9254,28,9,167,28,9,195,0.020617466694861492,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.835,0.9488636363636364,167
CatBoost,val,balanced_f1,0.7322906419407365,0.9428571428571428,0.9269662921348315,0.9348441926345609,0.9768469815765279,0.9994236108840671,9269,10,13,165,10,13,175,0.018504811250925242,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.835,0.9382022471910112,167
CatBoost,test,balanced_f1,0.7322906419407365,0.9534883720930233,0.9318181818181818,0.9425287356321839,0.9782884326724186,0.9993713394448688,9274,8,12,164,8,12,172,0.01818566293085219,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
CatBoost,val,precision_floor_60,0.1283287503733344,0.6459854014598541,0.9943820224719101,0.7831858407079646,0.9768469815765279,0.9994236108840671,9182,97,1,177,97,1,274,0.02897324733002009,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.835,0.9382022471910112,167
CatBoost,test,precision_floor_60,0.1283287503733344,0.6450381679389313,0.9602272727272727,0.771689497716895,0.9782884326724186,0.9993713394448688,9189,93,7,169,93,7,262,0.027701416790019032,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
CatBoost,val,precision_floor_65,0.15219100860059545,0.6518518518518519,0.9887640449438202,0.7857142857142857,0.9768469815765279,0.9994236108840671,9185,94,2,176,94,2,270,0.02855028021571323,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.835,0.9382022471910112,167
CatBoost,test,precision_floor_65,0.15219100860059545,0.6706349206349206,0.9602272727272727,0.7897196261682243,0.9782884326724186,0.9993713394448688,9199,83,7,169,83,7,252,0.02664411080566716,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
CatBoost,val,precision_floor_70,0.2631441010422689,0.7119341563786008,0.9719101123595506,0.8218527315914489,0.9768469815765279,0.9994236108840671,9209,70,5,173,70,5,243,0.025695252194141906,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.835,0.9382022471910112,167
CatBoost,test,precision_floor_70,0.2631441010422689,0.7813953488372093,0.9545454545454546,0.8593350383631714,0.9782884326724186,0.9993713394448688,9235,47,8,168,47,8,215,0.022732078663565237,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
