model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
Autoencoder Reconstruction,test,balanced_f1,0.01636704893921364,0.7483443708609272,0.6420454545454546,0.691131498470948,0.6933722910750707,0.9392262149615092,9244,38,63,113,38,63,151,0.01596532036371326,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Autoencoder Reconstruction,test,precision_floor_60,0.013658206560097468,0.580952380952381,0.6931818181818182,0.6321243523316062,0.6933722910750707,0.9392262149615092,9194,88,54,122,88,54,210,0.0222034256713893,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Autoencoder Reconstruction,test,precision_floor_65,0.01636704893921364,0.7483443708609272,0.6420454545454546,0.691131498470948,0.6933722910750707,0.9392262149615092,9244,38,63,113,38,63,151,0.01596532036371326,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Autoencoder Reconstruction,test,precision_floor_70,0.01636704893921364,0.7483443708609272,0.6420454545454546,0.691131498470948,0.6933722910750707,0.9392262149615092,9244,38,63,113,38,63,151,0.01596532036371326,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Gaussian Density Model,test,balanced_f1,9.694713414314488e-05,0.8076923076923077,0.8352272727272727,0.8212290502793296,0.9080138447342663,0.9979456817692112,9247,35,29,147,35,29,182,0.01924296891520406,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
Gaussian Density Model,test,precision_floor_60,7.409215566420575e-05,0.6028368794326241,0.9659090909090909,0.74235807860262,0.9080138447342663,0.9979456817692112,9170,112,6,170,112,6,282,0.029816028758722773,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
Gaussian Density Model,test,precision_floor_65,8.123378211295726e-05,0.6893617021276596,0.9204545454545454,0.7883211678832117,0.9080138447342663,0.9979456817692112,9209,73,14,162,73,14,235,0.024846690632268978,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
Gaussian Density Model,test,precision_floor_70,8.518726921246875e-05,0.7255813953488373,0.8863636363636364,0.7979539641943734,0.9080138447342663,0.9979456817692112,9223,59,20,156,59,20,215,0.022732078663565237,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
Hybrid Unsupervised Anomaly Detector,test,balanced_f1,0.12607348764952414,0.8058252427184466,0.9431818181818182,0.8691099476439791,0.9521290209519504,0.9989226459814695,9242,40,10,166,40,10,206,0.021780503277648553,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
Hybrid Unsupervised Anomaly Detector,test,precision_floor_60,0.10805913545139667,0.6214285714285714,0.9886363636363636,0.7631578947368421,0.9521290209519504,0.9989226459814695,9176,106,2,174,106,2,280,0.0296045675618524,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
Hybrid Unsupervised Anomaly Detector,test,precision_floor_65,0.11136824695607321,0.6564885496183206,0.9772727272727273,0.7853881278538812,0.9521290209519504,0.9989226459814695,9192,90,4,172,90,4,262,0.027701416790019032,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
Hybrid Unsupervised Anomaly Detector,test,precision_floor_70,0.11873092755528747,0.7359307359307359,0.9659090909090909,0.8353808353808354,0.9521290209519504,0.9989226459814695,9221,61,6,170,61,6,231,0.02442376823852823,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
Isolation Forest,test,balanced_f1,0.6342394374788394,0.34328358208955223,0.39204545454545453,0.3660477453580902,0.31587699056144103,0.8463362617774383,9150,132,107,69,132,107,201,0.021251850285472617,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
Isolation Forest,test,precision_floor_60,0.7841096177906662,0.6176470588235294,0.11931818181818182,0.2,0.31587699056144103,0.8463362617774383,9269,13,155,21,13,155,34,0.003594840346796363,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
Isolation Forest,test,precision_floor_65,0.8524067150523232,0.8461538461538461,0.0625,0.1164021164021164,0.31587699056144103,0.8463362617774383,9280,2,165,11,2,165,13,0.001374497779657433,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
Isolation Forest,test,precision_floor_70,0.8524067150523232,0.8461538461538461,0.0625,0.1164021164021164,0.31587699056144103,0.8463362617774383,9280,2,165,11,2,165,13,0.001374497779657433,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
KNN Local Distance Outlier,test,balanced_f1,0.13993830955986966,0.656441717791411,0.6079545454545454,0.6312684365781711,0.6300079876614032,0.9096081614463968,9226,56,69,107,56,69,163,0.017234087544935505,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
KNN Local Distance Outlier,test,precision_floor_60,0.13993830955986966,0.656441717791411,0.6079545454545454,0.6312684365781711,0.6300079876614032,0.9096081614463968,9226,56,69,107,56,69,163,0.017234087544935505,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
KNN Local Distance Outlier,test,precision_floor_65,0.13993830955986966,0.656441717791411,0.6079545454545454,0.6312684365781711,0.6300079876614032,0.9096081614463968,9226,56,69,107,56,69,163,0.017234087544935505,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
KNN Local Distance Outlier,test,precision_floor_70,0.14921220908237598,0.7191780821917808,0.5965909090909091,0.6521739130434783,0.6300079876614032,0.9096081614463968,9241,41,71,105,41,71,146,0.015436667371537323,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
PCA Reconstruction,test,balanced_f1,0.020044291439023317,0.6167664670658682,0.5852272727272727,0.6005830903790087,0.5645756463279509,0.8858139409609999,9218,64,73,103,64,73,167,0.017657009938676253,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
PCA Reconstruction,test,precision_floor_60,0.02225909583573446,0.631578947368421,0.5454545454545454,0.5853658536585366,0.5645756463279509,0.8858139409609999,9226,56,80,96,56,80,152,0.016071050962148444,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
PCA Reconstruction,test,precision_floor_65,0.029742709994487526,0.6730769230769231,0.3977272727272727,0.5,0.5645756463279509,0.8858139409609999,9248,34,106,70,34,106,104,0.010995982237259463,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
PCA Reconstruction,test,precision_floor_70,0.06799182521604144,0.8333333333333334,0.2556818181818182,0.391304347826087,0.5645756463279509,0.8858139409609999,9273,9,131,45,9,131,54,0.0057094523155001055,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
Robust Z-Score Model,test,balanced_f1,0.31197744050319737,0.3697478991596639,0.5,0.4251207729468599,0.37201663824120834,0.7193088773971126,9132,150,88,88,150,88,238,0.02516388242757454,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Robust Z-Score Model,test,precision_floor_60,0.3970005523534942,0.7894736842105263,0.2556818181818182,0.38626609442060084,0.37201663824120834,0.7193088773971126,9270,12,131,45,12,131,57,0.006026644110805667,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Robust Z-Score Model,test,precision_floor_65,0.3970005523534942,0.7894736842105263,0.2556818181818182,0.38626609442060084,0.37201663824120834,0.7193088773971126,9270,12,131,45,12,131,57,0.006026644110805667,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Robust Z-Score Model,test,precision_floor_70,0.3970005523534942,0.7894736842105263,0.2556818181818182,0.38626609442060084,0.37201663824120834,0.7193088773971126,9270,12,131,45,12,131,57,0.006026644110805667,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Rule-Based Baseline,test,balanced_f1,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
Rule-Based Baseline,test,precision_floor_60,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
Rule-Based Baseline,test,precision_floor_65,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
Rule-Based Baseline,test,precision_floor_70,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
