model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
Rule-Based Baseline,val,balanced_f1,0.5,0.8837209302325582,0.6404494382022472,0.742671009771987,0.719188566205526,0.9925910991474043,9264,15,64,114,15,64,129,0.01364068943639632,0.72,0.20224719101123595,36,0.85,0.47752808988764045,85,0.67,0.7528089887640449,134
Rule-Based Baseline,test,balanced_f1,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
Rule-Based Baseline,val,precision_floor_60,0.5,0.8837209302325582,0.6404494382022472,0.742671009771987,0.719188566205526,0.9925910991474043,9264,15,64,114,15,64,129,0.01364068943639632,0.72,0.20224719101123595,36,0.85,0.47752808988764045,85,0.67,0.7528089887640449,134
Rule-Based Baseline,test,precision_floor_60,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
Rule-Based Baseline,val,precision_floor_65,0.5,0.8837209302325582,0.6404494382022472,0.742671009771987,0.719188566205526,0.9925910991474043,9264,15,64,114,15,64,129,0.01364068943639632,0.72,0.20224719101123595,36,0.85,0.47752808988764045,85,0.67,0.7528089887640449,134
Rule-Based Baseline,test,precision_floor_65,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
Rule-Based Baseline,val,precision_floor_70,0.5,0.8837209302325582,0.6404494382022472,0.742671009771987,0.719188566205526,0.9925910991474043,9264,15,64,114,15,64,129,0.01364068943639632,0.72,0.20224719101123595,36,0.85,0.47752808988764045,85,0.67,0.7528089887640449,134
Rule-Based Baseline,test,precision_floor_70,0.5,0.9076923076923077,0.6704545454545454,0.7712418300653595,0.7375394059296304,0.9924364850835439,9270,12,58,118,12,58,130,0.01374497779657433,0.76,0.2159090909090909,38,0.88,0.5,88,0.675,0.7670454545454546,135
Isolation Forest,val,balanced_f1,0.6342394374788394,0.43125,0.38764044943820225,0.40828402366863903,0.3069446938479519,0.8374976236057983,9188,91,109,69,91,109,160,0.016918684572274505,0.54,0.15168539325842698,27,0.49,0.2752808988764045,49,0.36,0.4044943820224719,72
Isolation Forest,test,balanced_f1,0.6342394374788394,0.34328358208955223,0.39204545454545453,0.3660477453580902,0.31587699056144103,0.8463362617774383,9150,132,107,69,132,107,201,0.021251850285472617,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
Isolation Forest,val,precision_floor_60,0.7841096177906662,0.6206896551724138,0.10112359550561797,0.17391304347826086,0.3069446938479519,0.8374976236057983,9268,11,160,18,11,160,29,0.003066511578724754,0.54,0.15168539325842698,27,0.49,0.2752808988764045,49,0.36,0.4044943820224719,72
Isolation Forest,test,precision_floor_60,0.7841096177906662,0.6176470588235294,0.11931818181818182,0.2,0.31587699056144103,0.8463362617774383,9269,13,155,21,13,155,34,0.003594840346796363,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
Isolation Forest,val,precision_floor_65,0.8524067150523232,0.9,0.05056179775280899,0.09574468085106383,0.3069446938479519,0.8374976236057983,9278,1,169,9,1,169,10,0.0010574177857671566,0.54,0.15168539325842698,27,0.49,0.2752808988764045,49,0.36,0.4044943820224719,72
Isolation Forest,test,precision_floor_65,0.8524067150523232,0.8461538461538461,0.0625,0.1164021164021164,0.31587699056144103,0.8463362617774383,9280,2,165,11,2,165,13,0.001374497779657433,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
Isolation Forest,val,precision_floor_70,0.8524067150523232,0.9,0.05056179775280899,0.09574468085106383,0.3069446938479519,0.8374976236057983,9278,1,169,9,1,169,10,0.0010574177857671566,0.54,0.15168539325842698,27,0.49,0.2752808988764045,49,0.36,0.4044943820224719,72
Isolation Forest,test,precision_floor_70,0.8524067150523232,0.8461538461538461,0.0625,0.1164021164021164,0.31587699056144103,0.8463362617774383,9280,2,165,11,2,165,13,0.001374497779657433,0.58,0.16477272727272727,29,0.46,0.26136363636363635,46,0.345,0.39204545454545453,69
KNN Local Distance Outlier,val,balanced_f1,0.13993830955986966,0.675,0.6067415730337079,0.6390532544378699,0.6097037373596377,0.8931415749711502,9227,52,70,108,52,70,160,0.016918684572274505,1.0,0.2808988764044944,50,0.83,0.46629213483146065,83,0.54,0.6067415730337079,108
KNN Local Distance Outlier,test,balanced_f1,0.13993830955986966,0.656441717791411,0.6079545454545454,0.6312684365781711,0.6300079876614032,0.9096081614463968,9226,56,69,107,56,69,163,0.017234087544935505,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
KNN Local Distance Outlier,val,precision_floor_60,0.13993830955986966,0.675,0.6067415730337079,0.6390532544378699,0.6097037373596377,0.8931415749711502,9227,52,70,108,52,70,160,0.016918684572274505,1.0,0.2808988764044944,50,0.83,0.46629213483146065,83,0.54,0.6067415730337079,108
KNN Local Distance Outlier,test,precision_floor_60,0.13993830955986966,0.656441717791411,0.6079545454545454,0.6312684365781711,0.6300079876614032,0.9096081614463968,9226,56,69,107,56,69,163,0.017234087544935505,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
KNN Local Distance Outlier,val,precision_floor_65,0.13993830955986966,0.675,0.6067415730337079,0.6390532544378699,0.6097037373596377,0.8931415749711502,9227,52,70,108,52,70,160,0.016918684572274505,1.0,0.2808988764044944,50,0.83,0.46629213483146065,83,0.54,0.6067415730337079,108
KNN Local Distance Outlier,test,precision_floor_65,0.13993830955986966,0.656441717791411,0.6079545454545454,0.6312684365781711,0.6300079876614032,0.9096081614463968,9226,56,69,107,56,69,163,0.017234087544935505,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
KNN Local Distance Outlier,val,precision_floor_70,0.14921220908237598,0.7163120567375887,0.5674157303370787,0.6332288401253918,0.6097037373596377,0.8931415749711502,9239,40,77,101,40,77,141,0.014909590779316908,1.0,0.2808988764044944,50,0.83,0.46629213483146065,83,0.54,0.6067415730337079,108
KNN Local Distance Outlier,test,precision_floor_70,0.14921220908237598,0.7191780821917808,0.5965909090909091,0.6521739130434783,0.6300079876614032,0.9096081614463968,9241,41,71,105,41,71,146,0.015436667371537323,1.0,0.2840909090909091,50,0.83,0.4715909090909091,83,0.545,0.6193181818181818,109
Gaussian Density Model,val,balanced_f1,9.694713414314488e-05,0.7932960893854749,0.797752808988764,0.7955182072829131,0.9013270022823234,0.9973620510734037,9242,37,36,142,37,36,179,0.018927778365232104,1.0,0.2808988764044944,50,0.99,0.5561797752808989,99,0.75,0.8426966292134831,150
Gaussian Density Model,test,balanced_f1,9.694713414314488e-05,0.8076923076923077,0.8352272727272727,0.8212290502793296,0.9080138447342663,0.9979456817692112,9247,35,29,147,35,29,182,0.01924296891520406,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
Gaussian Density Model,val,precision_floor_60,7.409215566420575e-05,0.6139705882352942,0.9382022471910112,0.7422222222222222,0.9013270022823234,0.9973620510734037,9174,105,11,167,105,11,272,0.02876176377286666,1.0,0.2808988764044944,50,0.99,0.5561797752808989,99,0.75,0.8426966292134831,150
Gaussian Density Model,test,precision_floor_60,7.409215566420575e-05,0.6028368794326241,0.9659090909090909,0.74235807860262,0.9080138447342663,0.9979456817692112,9170,112,6,170,112,6,282,0.029816028758722773,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
Gaussian Density Model,val,precision_floor_65,8.123378211295726e-05,0.6851063829787234,0.9044943820224719,0.7796610169491526,0.9013270022823234,0.9973620510734037,9205,74,17,161,74,17,235,0.02484931796552818,1.0,0.2808988764044944,50,0.99,0.5561797752808989,99,0.75,0.8426966292134831,150
Gaussian Density Model,test,precision_floor_65,8.123378211295726e-05,0.6893617021276596,0.9204545454545454,0.7883211678832117,0.9080138447342663,0.9979456817692112,9209,73,14,162,73,14,235,0.024846690632268978,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
Gaussian Density Model,val,precision_floor_70,8.518726921246875e-05,0.7083333333333334,0.8595505617977528,0.7766497461928934,0.9013270022823234,0.9973620510734037,9216,63,25,153,63,25,216,0.022840224172570582,1.0,0.2808988764044944,50,0.99,0.5561797752808989,99,0.75,0.8426966292134831,150
Gaussian Density Model,test,precision_floor_70,8.518726921246875e-05,0.7255813953488373,0.8863636363636364,0.7979539641943734,0.9080138447342663,0.9979456817692112,9223,59,20,156,59,20,215,0.022732078663565237,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
