record_type,bootstrap_id,metric,value,n_unique_customers
bootstrap_overlap_ari,0.0,ari_vs_reference_on_unique_sampled_customers,0.947079535343498,6297.0
bootstrap_overlap_ari,1.0,ari_vs_reference_on_unique_sampled_customers,0.9412458144379061,6359.0
bootstrap_overlap_ari,2.0,ari_vs_reference_on_unique_sampled_customers,0.9648968989033695,6272.0
bootstrap_overlap_ari,3.0,ari_vs_reference_on_unique_sampled_customers,0.9256661587999201,6310.0
bootstrap_overlap_ari,4.0,ari_vs_reference_on_unique_sampled_customers,0.950464523997021,6305.0
bootstrap_overlap_ari,5.0,ari_vs_reference_on_unique_sampled_customers,0.925148261048536,6322.0
bootstrap_overlap_ari,6.0,ari_vs_reference_on_unique_sampled_customers,0.9404813608016303,6356.0
bootstrap_overlap_ari,7.0,ari_vs_reference_on_unique_sampled_customers,0.9341335802283333,6341.0
bootstrap_overlap_ari,8.0,ari_vs_reference_on_unique_sampled_customers,0.9651957841007658,6305.0
bootstrap_overlap_ari,9.0,ari_vs_reference_on_unique_sampled_customers,0.9662063666565202,6312.0
bootstrap_overlap_ari,10.0,ari_vs_reference_on_unique_sampled_customers,0.9542054474462162,6279.0
bootstrap_overlap_ari,11.0,ari_vs_reference_on_unique_sampled_customers,0.9694755146622819,6296.0
bootstrap_overlap_ari,12.0,ari_vs_reference_on_unique_sampled_customers,0.9641982720027907,6336.0
bootstrap_overlap_ari,13.0,ari_vs_reference_on_unique_sampled_customers,0.9504823760827801,6371.0
bootstrap_overlap_ari,14.0,ari_vs_reference_on_unique_sampled_customers,0.9576840195585689,6321.0
bootstrap_overlap_ari,15.0,ari_vs_reference_on_unique_sampled_customers,0.9406187237106559,6370.0
bootstrap_overlap_ari,16.0,ari_vs_reference_on_unique_sampled_customers,0.9271660812729413,6335.0
bootstrap_overlap_ari,17.0,ari_vs_reference_on_unique_sampled_customers,0.9287280369668319,6256.0
bootstrap_overlap_ari,18.0,ari_vs_reference_on_unique_sampled_customers,0.9103601792803184,6300.0
bootstrap_overlap_ari,19.0,ari_vs_reference_on_unique_sampled_customers,0.9464476698179289,6381.0
bootstrap_overlap_ari,20.0,ari_vs_reference_on_unique_sampled_customers,0.9546873914681767,6301.0
bootstrap_overlap_ari,21.0,ari_vs_reference_on_unique_sampled_customers,0.9029731133052472,6329.0
bootstrap_overlap_ari,22.0,ari_vs_reference_on_unique_sampled_customers,0.9639932485413928,6319.0
bootstrap_overlap_ari,23.0,ari_vs_reference_on_unique_sampled_customers,0.9557072799094226,6322.0
bootstrap_overlap_ari,24.0,ari_vs_reference_on_unique_sampled_customers,0.9297099031323773,6312.0
bootstrap_overlap_ari,25.0,ari_vs_reference_on_unique_sampled_customers,0.9752405563958249,6324.0
bootstrap_overlap_ari,26.0,ari_vs_reference_on_unique_sampled_customers,0.9539747767128519,6292.0
bootstrap_overlap_ari,27.0,ari_vs_reference_on_unique_sampled_customers,0.9495197637462577,6250.0
bootstrap_overlap_ari,28.0,ari_vs_reference_on_unique_sampled_customers,0.9606038162082491,6345.0
bootstrap_overlap_ari,29.0,ari_vs_reference_on_unique_sampled_customers,0.8517946508880208,6308.0
consensus_summary,,consensus_sample_size,2500.0,
consensus_summary,,bootstrap_iterations,30.0,
consensus_summary,,mean_bootstrap_overlap_ari,0.9436029701808877,
consensus_summary,,min_bootstrap_overlap_ari,0.8517946508880208,
consensus_summary,,max_bootstrap_overlap_ari,0.9752405563958249,
consensus_summary,,std_bootstrap_overlap_ari,0.024298411455059638,
consensus_summary,,mean_pair_consensus,0.20507169164850356,
consensus_summary,,fraction_pairs_consensus_gt_0_8,0.18722753101240497,
consensus_summary,,fraction_pairs_consensus_lt_0_2,0.7772334533813525,
consensus_summary,,fraction_pairs_consensus_between_0_4_and_0_6,0.01154701880752301,
consensus_summary,,mean_customer_max_partner_consensus,0.9989442709578005,
