order_id,anomaly_type,description
108644,suspicious_discount,Injected module3-only suspicious_discount anomaly
152775,suspicious_discount,Injected module3-only suspicious_discount anomaly
105533,suspicious_discount,Injected module3-only suspicious_discount anomaly
145407,suspicious_discount,Injected module3-only suspicious_discount anomaly
113451,suspicious_discount,Injected module3-only suspicious_discount anomaly
140248,suspicious_discount,Injected module3-only suspicious_discount anomaly
148537,suspicious_discount,Injected module3-only suspicious_discount anomaly
110654,suspicious_discount,Injected module3-only suspicious_discount anomaly
115442,suspicious_discount,Injected module3-only suspicious_discount anomaly
128804,suspicious_discount,Injected module3-only suspicious_discount anomaly
160204,suspicious_discount,Injected module3-only suspicious_discount anomaly
160361,suspicious_discount,Injected module3-only suspicious_discount anomaly
120333,suspicious_discount,Injected module3-only suspicious_discount anomaly
107237,suspicious_discount,Injected module3-only suspicious_discount anomaly
156988,suspicious_discount,Injected module3-only suspicious_discount anomaly
149929,suspicious_discount,Injected module3-only suspicious_discount anomaly
150807,suspicious_discount,Injected module3-only suspicious_discount anomaly
126949,suspicious_discount,Injected module3-only suspicious_discount anomaly
118118,suspicious_discount,Injected module3-only suspicious_discount anomaly
159441,suspicious_discount,Injected module3-only suspicious_discount anomaly
147521,suspicious_discount,Injected module3-only suspicious_discount anomaly
109839,suspicious_discount,Injected module3-only suspicious_discount anomaly
133255,suspicious_discount,Injected module3-only suspicious_discount anomaly
121810,suspicious_discount,Injected module3-only suspicious_discount anomaly
131331,suspicious_discount,Injected module3-only suspicious_discount anomaly
137720,suspicious_discount,Injected module3-only suspicious_discount anomaly
145296,suspicious_discount,Injected module3-only suspicious_discount anomaly
125010,suspicious_discount,Injected module3-only suspicious_discount anomaly
162217,suspicious_discount,Injected module3-only suspicious_discount anomaly
144233,suspicious_discount,Injected module3-only suspicious_discount anomaly
137256,suspicious_discount,Injected module3-only suspicious_discount anomaly
101179,suspicious_discount,Injected module3-only suspicious_discount anomaly
158296,suspicious_discount,Injected module3-only suspicious_discount anomaly
102634,suspicious_discount,Injected module3-only suspicious_discount anomaly
109371,suspicious_discount,Injected module3-only suspicious_discount anomaly
121993,suspicious_discount,Injected module3-only suspicious_discount anomaly
103558,suspicious_discount,Injected module3-only suspicious_discount anomaly
105556,suspicious_discount,Injected module3-only suspicious_discount anomaly
112221,suspicious_discount,Injected module3-only suspicious_discount anomaly
136002,suspicious_discount,Injected module3-only suspicious_discount anomaly
