customer_id,archetype,price_tier,time_preference,day_preference,basket_size_bias,preferred_sections,preferred_categories,expected_visits,actual_visits
5485,infrequent,premium,dinner,weekday,small,Steakhouse,"Alcohol,Side",2,2
7761,infrequent,budget,dinner,weekday,large,"Steakhouse,Mexican","Alcohol,Main",4,4
1774,occasional,budget,lunch,weekday,large,"Healthy_Vegan,American","Bakery,Beverage",5,5
3417,occasional,premium,dinner,any,medium,Japanese,"Alcohol,Dessert",6,6
447,regular,premium,morning,any,medium,Cafe,"Appetizer,Food,Dessert",22,16
8384,one_timer,mid,lunch,weekday,medium,Healthy_Vegan,"Food,Alcohol",1,1
6651,infrequent,premium,morning,any,medium,Cafe,"Dessert,Beverage,Main",4,4
189,regular,mid,flexible,any,medium,Cafe,"Beverage,Appetizer",16,10
2138,occasional,mid,dinner,weekday,medium,American,"Food,Appetizer,Side",9,9
5369,infrequent,mid,morning,any,medium,Cafe,"Beverage,Appetizer",3,3
7605,infrequent,premium,dinner,weekend,large,Mexican,"Side,Dessert",2,2
65,regular,mid,dinner,any,small,"Steakhouse,American","Appetizer,Main",17,17
4703,infrequent,mid,morning,any,medium,Cafe,"Main,Bakery,Appetizer",4,4
5673,infrequent,mid,dinner,any,medium,"Steakhouse,Mexican","Main,Food",4,4
5237,infrequent,mid,flexible,weekday,medium,Steakhouse,"Alcohol,Beverage",2,2
1294,regular,mid,dinner,weekday,medium,"Mexican,American","Beverage,Side",22,22
5385,infrequent,budget,dinner,weekend,medium,Steakhouse,"Main,Food",2,2
950,regular,budget,flexible,weekend,medium,"Healthy_Vegan,Japanese","Alcohol,Side,Appetizer",15,14
2260,occasional,budget,dinner,weekday,medium,"American,Mexican","Main,Alcohol",11,11
3947,occasional,mid,lunch,any,medium,"American,Healthy_Vegan","Bakery,Dessert",5,5
4901,infrequent,mid,flexible,weekend,medium,"Steakhouse,Cafe","Side,Food",4,4
2810,occasional,mid,dinner,any,large,Italian,"Food,Dessert",5,5
4013,occasional,premium,dinner,any,large,"American,Mexican","Dessert,Food,Alcohol",5,5
1610,occasional,budget,dinner,weekday,medium,Japanese,"Main,Bakery",11,11
5462,infrequent,premium,dinner,any,large,"Italian,American","Beverage,Food",4,4
1447,regular,mid,dinner,any,large,Japanese,"Food,Beverage",20,16
123,regular,premium,dinner,any,medium,Japanese,"Main,Dessert",20,17
2528,occasional,budget,morning,any,medium,Cafe,"Main,Side",6,4
8991,one_timer,budget,dinner,any,large,Italian,"Food,Dessert",1,1
4813,infrequent,mid,dinner,weekend,small,Steakhouse,"Appetizer,Alcohol",2,2
5583,infrequent,budget,dinner,any,medium,"Italian,American","Alcohol,Dessert,Bakery",3,3
1381,regular,budget,dinner,weekend,medium,Steakhouse,"Bakery,Main",26,19
4149,occasional,budget,dinner,weekday,medium,Mexican,"Food,Side",8,8
4150,occasional,budget,flexible,any,small,Cafe,"Food,Dessert",6,5
6501,infrequent,budget,lunch,any,medium,Healthy_Vegan,"Food,Beverage",3,3
690,regular,mid,dinner,any,small,Mexican,"Dessert,Beverage,Alcohol",15,15
639,regular,mid,dinner,any,medium,Mexican,"Beverage,Bakery,Dessert",16,16
9235,one_timer,budget,lunch,weekday,large,"Healthy_Vegan,American","Main,Beverage,Food",1,1
5457,infrequent,premium,lunch,weekday,medium,Healthy_Vegan,"Beverage,Alcohol",2,2
