iter	F1	Logloss
0	0.9782201797	0.5590764833
1	0.986440282	0.4823166766
2	0.9920867259	0.4227042073
3	0.9924726017	0.3614927887
4	0.9924385418	0.3270482754
5	0.9921547998	0.2670385777
6	0.9924612481	0.2258611488
7	0.9925180186	0.1995527242
8	0.9924612481	0.1782069153
9	0.9925180186	0.1586596747
10	0.9925180186	0.1508831895
11	0.992506664	0.1375278465
12	0.9924953096	0.1300025682
13	0.9925180186	0.1206775441
14	0.992506664	0.1151074809
15	0.9925407286	0.108947757
16	0.992506664	0.1009676921
17	0.992506664	0.09493240346
18	0.9924498948	0.09109732894
19	0.992427189	0.08645530181
20	0.9924385418	0.08380238723
21	0.9924158364	0.07971549152
22	0.9924044842	0.0756795632
23	0.9924498948	0.07082891603
24	0.9924158364	0.06616738339
25	0.9924158364	0.06399273546
26	0.9924498948	0.06160702519
27	0.992506664	0.05947634671
28	0.992506664	0.05700658983
29	0.992506664	0.05413971108
30	0.9925407286	0.05090685978
31	0.9925180186	0.048948562
32	0.9925293735	0.04792729927
33	0.9925407286	0.04647108246
34	0.9925634396	0.04528705646
35	0.9925747956	0.04404078238
36	0.9925975082	0.04268491291
37	0.9925975082	0.04202221204
38	0.9925975082	0.04133308125
39	0.9926202218	0.04057567632
40	0.9925861517	0.03966599035
41	0.9925975082	0.03918093346
42	0.9926202218	0.03852051808
43	0.9926429365	0.03783394093
44	0.9926542942	0.03721099873
45	0.9926542942	0.03670713928
46	0.9926542942	0.03613246629
47	0.9926542942	0.03545907032
48	0.9926656522	0.03497496589
49	0.9926656522	0.0342210015
50	0.9926656522	0.03357821911
51	0.9927110868	0.03315034555
52	0.9926770104	0.03290069628
53	0.9927110868	0.03197083729
54	0.992722446	0.03146328742
55	0.9927451654	0.03096474738
56	0.9927906072	0.03035304164
57	0.9928133297	0.03012343284
58	0.9928815034	0.02961036
59	0.9929269577	0.02939167602
60	0.9929269577	0.02911173384
61	0.992938322	0.02880794215
62	0.9929837815	0.02829021788
63	0.9929837815	0.02793924795
64	0.9930178789	0.02767492144
65	0.9930633457	0.02745741481
66	0.9930406117	0.02709108921
67	0.9930406117	0.02670514894
68	0.9930974485	0.0263411378
69	0.9931315537	0.02611506506
70	0.993120185	0.02581363046
71	0.9931656612	0.02544029002
72	0.9931997711	0.0252529277
73	0.9932225123	0.02497239937
74	0.9932338833	0.02480839836
75	0.9932566261	0.02451501006
76	0.9932679979	0.02431269157
77	0.9933134876	0.02403091515
78	0.9933476076	0.02377807398
79	0.9933931046	0.02355685408
80	0.9934386058	0.02333905253
81	0.9934613579	0.0231910798
82	0.9934841111	0.02299259889
83	0.9935182429	0.02279685165
84	0.9935296206	0.02257567173
85	0.9936206522	0.02234406232
86	0.9937572308	0.02204120609
87	0.9938027653	0.0219135761
88	0.9938255342	0.02185118148
89	0.9938824608	0.02172517253
90	0.9939507814	0.02146561093
91	0.9940077224	0.02127852846
92	0.9940760602	0.0211320375
93	0.9940874508	0.02102109808
94	0.9941102327	0.02092658038
95	0.9942241577	0.02074106428
96	0.9942697351	0.02058987766
97	0.9942925253	0.02043797786
98	0.9943950943	0.02021439859
99	0.9944064922	0.0200460903
100	0.9944178903	0.01989966966
101	0.9944976845	0.01979821755
102	0.9945546882	0.01966300422
103	0.9946002958	0.01951429694
104	0.9946573113	0.01935902945
105	0.9946687151	0.01924112508
106	0.9946801193	0.0191511468
107	0.9947827683	0.01895342667
108	0.9948512127	0.01874079128
109	0.9949310764	0.01860624326
110	0.9949881298	0.01843487283
111	0.9950680155	0.01823784248
112	0.9951022562	0.01811690997
113	0.9951250846	0.01803152277
114	0.9951593292	0.01789291213
115	0.9951707446	0.01781000836
116	0.9952620772	0.01760856342
117	0.9952620772	0.01752591249
118	0.9954333709	0.01725645173
119	0.9955133281	0.0170933571
120	0.9955019048	0.01700731068
121	0.9955019048	0.01691467691
122	0.9955247516	0.0167531198
