iter	Passed	Remaining
0	146	80629
1	156	42875
2	164	30037
3	173	23699
4	182	19896
5	190	17297
6	198	15433
7	207	14035
8	216	12996
9	224	12142
10	233	11442
11	242	10857
12	251	10382
13	260	9963
14	269	9594
15	278	9284
16	286	8978
17	294	8713
18	303	8473
19	311	8264
20	321	8091
21	329	7913
22	338	7755
23	346	7604
24	355	7468
25	364	7353
26	374	7250
27	381	7105
28	389	7002
29	397	6897
30	406	6799
31	414	6705
32	423	6636
33	432	6561
34	441	6491
35	449	6424
36	458	6356
37	467	6298
38	476	6242
39	484	6180
40	493	6131
41	502	6083
42	512	6039
43	520	5989
44	529	5943
45	538	5901
46	547	5855
47	555	5810
48	563	5766
49	572	5724
50	581	5687
51	590	5652
52	595	5586
53	604	5547
54	612	5516
55	621	5483
56	629	5448
57	638	5415
58	647	5390
59	656	5360
60	664	5329
61	673	5304
62	683	5280
63	692	5256
64	700	5225
65	708	5196
66	717	5172
67	726	5151
68	736	5133
69	745	5110
70	755	5095
71	763	5067
72	771	5043
73	780	5018
74	789	4998
75	798	4977
76	806	4954
77	814	4929
78	823	4908
79	832	4888
80	849	4919
81	857	4895
82	866	4875
83	875	4857
84	884	4836
85	907	4898
86	917	4881
87	925	4861
88	933	4837
89	943	4821
90	952	4804
91	961	4784
92	970	4770
93	979	4749
94	987	4729
95	996	4710
96	1005	4695
97	1014	4677
98	1023	4661
99	1032	4644
100	1040	4624
101	1048	4605
102	1057	4588
103	1066	4572
104	1074	4554
105	1083	4536
106	1091	4519
107	1100	4504
108	1109	4488
109	1118	4472
110	1127	4458
111	1135	4441
112	1145	4428
113	1153	4411
114	1162	4396
115	1171	4384
116	1181	4370
117	1190	4358
118	1200	4346
119	1210	4338
120	1219	4323
121	1227	4306
122	1236	4292
123	1245	4280
124	1254	4265
125	1263	4251
126	1272	4237
127	1281	4223
128	1289	4208
129	1298	4195
130	1307	4182
131	1316	4167
132	1324	4153
133	1334	4142
134	1343	4128
135	1351	4114
136	1359	4098
137	1369	4087
138	1377	4074
139	1387	4062
140	1395	4049
141	1404	4034
142	1412	4020
143	1421	4007
144	1430	3994
145	1438	3980
146	1447	3967
147	1455	3954
148	1464	3942
149	1473	3928
150	1482	3916
151	1491	3905
152	1500	3894
153	1509	3880
154	1518	3868
155	1526	3854
156	1534	3841
157	1544	3830
158	1553	3819
159	1560	3804
160	1569	3791
161	1577	3778
162	1586	3766
163	1594	3752
164	1602	3739
165	1611	3727
166	1620	3716
167	1629	3705
168	1636	3690
169	1644	3676
170	1652	3662
171	1661	3650
172	1668	3636
173	1676	3622
174	1684	3609
175	1692	3595
176	1699	3582
177	1707	3569
178	1715	3555
179	1723	3543
180	1732	3531
181	1740	3519
182	1748	3506
183	1757	3495
184	1765	3482
185	1772	3468
186	1779	3454
187	1788	3443
188	1797	3432
189	1805	3420
190	1814	3411
191	1823	3400
192	1832	3390
193	1842	3380
194	1851	3369
195	1856	3352
196	1865	3342
197	1875	3333
198	1882	3321
199	1892	3311
200	1900	3300
201	1910	3290
202	1918	3279
203	1927	3269
204	1936	3259
205	1945	3249
206	1955	3239
207	1964	3230
208	1974	3220
209	1982	3210
210	1991	3200
211	2000	3189
212	2009	3179
213	2018	3168
214	2026	3157
215	2035	3146
216	2044	3136
217	2052	3126
218	2061	3115
219	2069	3104
220	2078	3094
221	2086	3082
222	2095	3072
223	2104	3063
224	2112	3051
225	2121	3040
226	2130	3031
227	2145	3029
228	2160	3028
229	2174	3025
230	2184	3016
231	2194	3007
232	2202	2996
233	2211	2985
234	2219	2975
235	2228	2964
236	2237	2954
237	2246	2945
238	2256	2935
239	2265	2925
240	2275	2917
241	2283	2906
242	2291	2895
243	2300	2884
244	2308	2873
245	2316	2862
246	2324	2851
247	2333	2841
248	2341	2830
249	2350	2821
250	2360	2811
251	2368	2801
252	2377	2790
253	2385	2780
254	2395	2771
255	2404	2761
256	2413	2751
257	2422	2741
258	2430	2731
259	2439	2720
260	2448	2710
261	2457	2701
262	2465	2690
263	2473	2679
264	2481	2669
265	2491	2660
266	2500	2650
267	2510	2641
268	2518	2631
269	2528	2622
270	2537	2612
271	2546	2602
272	2555	2593
273	2564	2583
274	2574	2574
275	2583	2564
276	2592	2554
277	2601	2544
278	2610	2535
279	2618	2525
280	2627	2514
281	2635	2504
282	2645	2495
283	2653	2485
284	2662	2476
285	2671	2466
286	2679	2455
287	2688	2445
288	2696	2435
289	2705	2425
290	2714	2416
291	2724	2407
292	2734	2398
293	2742	2388
294	2750	2377
295	2759	2367
296	2767	2357
297	2776	2348
298	2785	2338
299	2793	2327
300	2801	2317
301	2810	2307
302	2818	2297
303	2827	2287
304	2835	2278
305	2844	2268
306	2853	2258
307	2862	2249
308	2872	2240
309	2879	2229
310	2888	2219
311	2897	2210
312	2905	2200
313	2914	2190
314	2923	2181
315	2933	2172
316	2941	2162
317	2949	2151
318	2958	2142
319	2966	2132
320	2975	2123
321	2984	2113
322	2993	2103
323	3002	2094
