hybrid_segment,customers,total_revenue,avg_monetary,avg_frequency,avg_recency,avg_order_value,avg_basket_size,avg_discount_pct,avg_visit_gap,recommended_action
High-Value | High-Value Frequent Discount-Sensitive,1834,783385.19,427.14568702290074,15.310250817884405,68.5,27.95348305572583,2.858489071463541,1.654366556425818,2.3784078516902945,VIP loyalty program and premium personalization
Mid-Value | High-Value Inactive Large-Basket,828,130844.26,158.0244685990338,4.131642512077295,383.0495169082126,39.56230457307721,3.2974297408174222,1.3408696610689363,0.033816425120772944,Win-back campaign for valuable customers
High-Value | High-Value Inactive Large-Basket,345,126572.70999999999,366.877420289855,8.2,136.78550724637682,41.48391094683232,3.336006180922925,1.3232312775791035,0.1826086956521739,VIP loyalty program and premium personalization
Mid-Value | Low-Value Inactive Standard,784,84132.41,107.3117474489796,4.825255102040816,307.7512755102041,22.575996345562032,2.386501862649822,1.4016515832523484,0.09693877551020408,Reactivation campaign based on visit gap
High-Value | Low-Value Frequent Weekend-Oriented,446,80521.21,180.54082959641258,11.79372197309417,49.2914798206278,15.50807881659089,2.8408860391691957,1.457862550832049,3.3228699551569507,VIP loyalty program and premium personalization
High-Value | Mid-Value Occasional Discount-Sensitive,362,77694.33,214.62522099447514,9.75414364640884,78.02486187845304,22.401745805790945,2.8251674859040845,1.5910818300615053,0.9723756906077348,VIP loyalty program and premium personalization
Mid-Value | Mid-Value Occasional Discount-Sensitive,596,60857.09,102.10921140939597,4.738255033557047,270.6979865771812,22.140997796759542,2.857534234967121,1.5949642033954115,0.3875838926174497,Targeted promotions and coupon campaigns
Low-Value | High-Value Inactive Large-Basket,872,56559.09,64.86134174311927,1.5860091743119267,737.4380733944954,42.79430523700305,3.5996750764525993,1.7689220183486238,0.006880733944954129,Win-back campaign for valuable customers
Low-Value | Low-Value Inactive Standard,1551,53473.44,34.476750483558995,1.738233397807866,696.0380399742102,19.202460133247367,2.1463464431549535,1.7977111540941328,0.02192134107027724,Reactivation campaign based on visit gap
High-Value | Low-Value Inactive Standard,243,47054.72,193.6408230452675,8.868312757201647,122.34567901234568,22.120093397229198,2.3241151966460607,1.1596279520662238,0.06172839506172839,VIP loyalty program and premium personalization
Mid-Value | Low-Value Frequent Weekend-Oriented,481,37204.58,77.34839916839917,5.301455301455301,205.51975051975052,15.016860097629328,2.814884537961461,1.6122629391860162,0.6174636174636174,Reactivation campaign based on visit gap
Low-Value | Mid-Value Occasional Discount-Sensitive,783,28716.59,36.67508301404853,1.7841634738186463,666.514687100894,21.296166666666664,2.812899106002554,1.7402085994040015,0.06513409961685823,Targeted promotions and coupon campaigns
Low-Value | Low-Value Frequent Weekend-Oriented,784,18769.7,23.94094387755102,1.8010204081632653,639.6186224489796,13.362835459183673,2.8013392857142856,1.5470875850340138,0.06887755102040816,Reactivation campaign based on visit gap
Mid-Value | High-Value Frequent Discount-Sensitive,91,16035.87,176.21835164835167,7.285714285714286,257.5824175824176,24.10180612244898,2.859061573347288,3.398635095063667,2.065934065934066,VIP loyalty program and premium personalization
Low-Value | High-Value Frequent Discount-Sensitive,1,60.6,60.6,3.0,763.0,20.2,3.333333333333333,31.666666666666668,0.0,Win-back campaign for valuable customers
