customer_id,profile_transaction_match,archetype,price_tier,time_preference,day_preference,basket_size_bias,preferred_sections,preferred_categories,expected_visits,actual_visits,visit_gap,visit_ratio,under_engaged_flag,last_order_date,first_order_date,frequency,monetary,recency,customer_tenure_days,monetary_per_order,R_score,F_score,M_score,rfm_score,rfm_code,total_orders,avg_order_value,median_order_value,max_order_value,avg_basket_size,median_basket_size,avg_unique_items_per_order,avg_categories_per_order,avg_item_price,avg_discount_pct,discount_order_rate,total_discount_amount_est,payment_share_card,payment_share_cash,payment_share_mobile,preferred_payment_method,avg_order_hour,std_order_hour,weekend_order_rate,dow_share_friday,dow_share_monday,dow_share_saturday,dow_share_sunday,dow_share_thursday,dow_share_tuesday,dow_share_wednesday,meal_share_dinner,meal_share_late_night,meal_share_lunch,meal_share_morning,dominant_meal_period,dominant_day_of_week,category_share_alcohol,category_share_appetizer,category_share_bakery,category_share_beverage,category_share_dessert,category_share_food,category_share_main,category_share_side,section_share_american,section_share_cafe,section_share_healthy_vegan,section_share_italian,section_share_japanese,section_share_mexican,section_share_steakhouse,unique_items_bought,unique_categories_bought,unique_sections_bought,dominant_category,dominant_section,rfm_segment,gmm_cluster,kmeans_cluster,kmeans_segment_name,rfm_value_tier,hybrid_segment
5485,both,infrequent,premium,dinner,weekday,small,Steakhouse,"Alcohol,Side",2.0,2.0,0.0,1.0,0,2025-11-09 19:30:00,2025-05-13 21:00:00,2.0,136.0,53.0,179.0,68.0,5,2,4,11,524,2.0,68.0,68.0,82.0,2.5,2.5,2.5,2.0,27.166666666666664,0.0,0.0,0.0,0.5,0.5,0.0,card,20.0,1.4142135623730951,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,dinner,Sunday,0.1102941176470588,0.1176470588235294,0.0,0.0,0.0,0.0,0.7720588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,Main,Steakhouse,New / Promising,1,0,High-Value Inactive Large-Basket,Mid-Value,Mid-Value | High-Value Inactive Large-Basket
3417,both,occasional,premium,dinner,any,medium,Japanese,"Alcohol,Dessert",6.0,6.0,0.0,1.0,0,2025-10-17 20:00:00,2024-02-24 09:00:00,5.0,148.75,76.0,601.0,29.75,4,3,4,11,434,5.0,29.75,25.5,50.0,3.4,4.0,3.4,2.2,10.7075,0.0,0.0,0.0,0.2,0.6,0.2,cash,15.0,6.0,0.6,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.4,dinner,Friday,0.1008403361344537,0.0605042016806722,0.0403361344537815,0.1260504201680672,0.0,0.134453781512605,0.5378151260504201,0.0,0.1378151260504201,0.3008403361344537,0.0,0.0,0.2252100840336134,0.0,0.3361344537815126,17.0,6.0,4.0,Main,Steakhouse,Potential Loyalists,1,0,High-Value Inactive Large-Basket,Mid-Value,Mid-Value | High-Value Inactive Large-Basket
189,both,regular,mid,flexible,any,medium,Cafe,"Beverage,Appetizer",16.0,10.0,6.0,0.625,1,2025-12-20 09:00:00,2023-07-30 11:30:00,10.0,198.18,12.0,873.0,19.818,5,4,4,13,544,10.0,19.818,16.34,41.5,3.2,3.0,3.2,1.9,5.961666666666667,1.0,0.1,1.825,0.4,0.3,0.3,card,12.1,5.130518708885313,0.6,0.0,0.1,0.4,0.2,0.0,0.2,0.1,0.3,0.0,0.2,0.5,morning,Saturday,0.0,0.0807346856393178,0.0428903017458875,0.3329296599051367,0.0,0.0691290745786658,0.474316278130992,0.0,0.3784438389343021,0.3793521041477445,0.0,0.0,0.1412856998688061,0.1009183570491472,0.0,25.0,5.0,4.0,Main,Cafe,Champions,2,1,High-Value Frequent Discount-Sensitive,High-Value,High-Value | High-Value Frequent Discount-Sensitive
7605,both,infrequent,premium,dinner,weekend,large,Mexican,"Side,Dessert",2.0,2.0,0.0,1.0,0,2025-05-31 19:00:00,2024-04-15 19:00:00,2.0,65.5,215.0,411.0,32.75,3,2,2,7,322,2.0,32.75,32.75,46.0,4.0,4.0,4.0,2.5,8.1875,0.0,0.0,0.0,1.0,0.0,0.0,card,19.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dinner,Monday,0.1679389312977099,0.0,0.0,0.0839694656488549,0.0,0.0,0.6793893129770993,0.0687022900763358,0.2977099236641221,0.0,0.0,0.0,0.0,0.7022900763358778,0.0,8.0,4.0,2.0,Main,Mexican,Need Attention,1,0,High-Value Inactive Large-Basket,Low-Value,Low-Value | High-Value Inactive Large-Basket
65,both,regular,mid,dinner,any,small,"Steakhouse,American","Appetizer,Main",17.0,17.0,0.0,1.0,0,2025-06-13 20:00:00,2023-01-27 12:30:00,17.0,613.75,202.0,868.0,36.10294117647059,3,5,5,13,355,17.0,36.10294117647059,26.0,96.0,2.0588235294117645,2.0,2.0588235294117645,1.6470588235294117,17.24264705882353,0.8823529411764706,0.0588235294117647,14.25,0.5882352941176471,0.1764705882352941,0.2352941176470588,card,19.058823529411764,1.9193289268418177,0.5294117647058824,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.3529411764705882,0.1176470588235294,0.1176470588235294,0.0,0.9411764705882352,0.0,0.0588235294117647,0.0,dinner,Sunday,0.0162932790224032,0.1521792260692464,0.0,0.0089613034623217,0.0081466395112016,0.0,0.7818329938900204,0.0325865580448065,0.1156822810590631,0.0,0.0,0.0496945010183299,0.0,0.090427698574338,0.7441955193482689,24.0,6.0,4.0,Main,Steakhouse,Loyal Customers,1,1,High-Value Frequent Discount-Sensitive,High-Value,High-Value | High-Value Frequent Discount-Sensitive
4703,both,infrequent,mid,morning,any,medium,Cafe,"Main,Bakery,Appetizer",4.0,4.0,0.0,1.0,0,2025-01-26 09:00:00,2023-12-27 08:00:00,4.0,44.86,340.0,396.0,11.215,3,3,2,8,332,4.0,11.215,11.905,13.25,2.75,3.0,2.75,2.0,4.364583333333333,6.25,0.5,2.625,0.25,0.5,0.25,cash,8.75,0.9574271077563384,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,1.0,morning,Wednesday,0.0,0.0,0.4233169861792243,0.3559964333481943,0.0,0.2206865804725813,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,Bakery,Cafe,Others,2,2,Low-Value Frequent Weekend-Oriented,Mid-Value,Mid-Value | Low-Value Frequent Weekend-Oriented
5673,both,infrequent,mid,dinner,any,medium,"Steakhouse,Mexican","Main,Food",4.0,4.0,0.0,1.0,0,2023-10-06 20:30:00,2023-05-14 19:30:00,4.0,165.0,818.0,145.0,41.25,1,3,4,8,134,4.0,41.25,37.5,70.0,3.0,3.0,3.0,1.5,14.333333333333332,0.0,0.0,0.0,0.75,0.0,0.25,card,19.0,0.816496580927726,0.75,0.25,0.0,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dinner,Sunday,0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.8727272727272727,0.0545454545454545,0.0,0.0,0.0,0.3090909090909091,0.1454545454545454,0.1212121212121212,0.4242424242424242,12.0,3.0,4.0,Main,Steakhouse,Others,1,0,High-Value Inactive Large-Basket,Mid-Value,Mid-Value | High-Value Inactive Large-Basket
5385,both,infrequent,budget,dinner,weekend,medium,Steakhouse,"Main,Food",2.0,2.0,0.0,1.0,0,2024-07-28 20:30:00,2024-07-28 20:30:00,1.0,14.4,522.0,0.0,14.4,2,1,1,4,211,1.0,14.4,14.4,14.4,1.0,1.0,1.0,1.0,16.0,10.0,1.0,1.6,0.0,1.0,0.0,cash,20.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,dinner,Sunday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Appetizer,Steakhouse,Lost / Hibernating,0,4,Low-Value Inactive Standard,Low-Value,Low-Value | Low-Value Inactive Standard
950,both,regular,budget,flexible,weekend,medium,"Healthy_Vegan,Japanese","Alcohol,Side,Appetizer",15.0,14.0,1.0,0.9333333333333332,1,2025-12-21 19:00:00,2023-01-08 12:00:00,14.0,357.75,11.0,1078.0,25.553571428571427,5,5,5,15,555,14.0,25.553571428571427,24.75,49.0,2.857142857142857,3.0,2.857142857142857,2.142857142857143,8.9375,0.0,0.0,0.0,0.3571428571428571,0.3571428571428571,0.2857142857142857,card,16.071428571428573,4.410900583332609,0.7142857142857143,0.0,0.0714285714285714,0.2857142857142857,0.4285714285714285,0.0714285714285714,0.0,0.1428571428571428,0.5714285714285714,0.0,0.3571428571428571,0.0714285714285714,dinner,Sunday,0.1621243885394828,0.0559049615653389,0.0244584206848357,0.0587002096436058,0.0,0.0265548567435359,0.5716282320055905,0.10062893081761,0.0461215932914046,0.0314465408805031,0.2208245981830887,0.1146051712089448,0.3773584905660377,0.0,0.2096436058700209,35.0,7.0,6.0,Main,Japanese,Champions,4,1,High-Value Frequent Discount-Sensitive,High-Value,High-Value | High-Value Frequent Discount-Sensitive
4901,both,infrequent,mid,flexible,weekend,medium,"Steakhouse,Cafe","Side,Food",4.0,4.0,0.0,1.0,0,2025-05-11 19:30:00,2023-12-16 08:30:00,4.0,42.4,235.0,512.0,10.6,3,3,2,8,332,4.0,10.6,9.325,21.25,2.5,2.5,2.5,1.75,6.296875,20.0,0.25,27.6,0.5,0.5,0.0,card,11.0,5.354126134736337,0.75,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.75,morning,Sunday,0.0,0.0,0.1474056603773585,0.1945754716981132,0.0,0.4952830188679245,0.1627358490566037,0.0,0.0,0.8372641509433962,0.0,0.0,0.1627358490566037,0.0,0.0,9.0,4.0,2.0,Food,Cafe,Others,2,2,Low-Value Frequent Weekend-Oriented,Mid-Value,Mid-Value | Low-Value Frequent Weekend-Oriented
