table,category,value
archetype_counts,regular,1500
archetype_counts,occasional,3000
archetype_counts,infrequent,3500
archetype_counts,one_timer,2000
visit_distribution,0,10
visit_distribution,1,2009
visit_distribution,2,1249
visit_distribution,3,1151
visit_distribution,4,1167
visit_distribution,5,426
visit_distribution,6,424
visit_distribution,7,394
visit_distribution,8,413
visit_distribution,9,404
visit_distribution,10,395
visit_distribution,11,356
visit_distribution,12,268
visit_distribution,13,85
visit_distribution,14,113
visit_distribution,15,127
visit_distribution,16,143
visit_distribution,17,119
visit_distribution,18,127
visit_distribution,19,110
visit_distribution,20,98
visit_distribution,21,99
visit_distribution,22,77
visit_distribution,23,55
visit_distribution,24,58
visit_distribution,25,46
visit_distribution,26,39
visit_distribution,27,24
visit_distribution,28,14
