hour,order_count,restaurant_type,section_total,section_share
0,12,Overall,61986,0.00019359210144226117
3,25,Overall,61986,0.00040331687800471074
4,12,Overall,61986,0.00019359210144226117
7,2240,Overall,61986,0.03613719226922208
8,4827,Overall,61986,0.07787242280514955
9,1988,Overall,61986,0.0320717581389346
10,1145,Overall,61986,0.01847191301261575
11,3403,Overall,61986,0.054899493434001224
12,7393,Overall,61986,0.11926886716355306
13,2320,Overall,61986,0.037427806278837156
18,5542,Overall,61986,0.08940728551608428
19,14791,Overall,61986,0.23861839770270707
20,14842,Overall,61986,0.23944116413383668
21,3433,Overall,61986,0.05538347368760688
23,13,Overall,61986,0.0002097247765624496
0,1,American,14262,7.011639321273313e-05
3,6,American,14262,0.00042069835927639884
4,2,American,14262,0.00014023278642546626
11,1157,American,14262,0.08112466694713225
12,4928,American,14262,0.3455335857523489
13,1469,American,14262,0.10300098162950498
18,1766,American,14262,0.12382555041368672
19,2851,American,14262,0.19990183704950218
20,2080,American,14262,0.14584209788248492
21,1,American,14262,7.011639321273313e-05
23,1,American,14262,7.011639321273313e-05
0,3,Cafe,11118,0.0002698327037236913
3,5,Cafe,11118,0.00044972117287281886
4,4,Cafe,11118,0.0003597769382982551
7,2236,Cafe,11118,0.20111530850872458
8,4822,Cafe,11118,0.4337110991185465
9,1985,Cafe,11118,0.17853930563050907
10,1143,Cafe,11118,0.10280626011872639
11,905,Cafe,11118,0.08139953228998022
12,2,Cafe,11118,0.00017988846914912754
13,1,Cafe,11118,8.994423457456377e-05
18,1,Cafe,11118,8.994423457456377e-05
19,2,Cafe,11118,0.00017988846914912754
20,6,Cafe,11118,0.0005396654074473826
21,1,Cafe,11118,8.994423457456377e-05
23,2,Cafe,11118,0.00017988846914912754
0,1,Healthy_Vegan,4666,0.0002143163309044149
3,3,Healthy_Vegan,4666,0.0006429489927132448
4,1,Healthy_Vegan,4666,0.0002143163309044149
7,1,Healthy_Vegan,4666,0.0002143163309044149
9,2,Healthy_Vegan,4666,0.0004286326618088298
10,1,Healthy_Vegan,4666,0.0002143163309044149
11,1340,Healthy_Vegan,4666,0.287183883411916
12,2457,Healthy_Vegan,4666,0.5265752250321475
13,849,Healthy_Vegan,4666,0.18195456493784826
18,1,Healthy_Vegan,4666,0.0002143163309044149
19,5,Healthy_Vegan,4666,0.0010715816545220746
20,4,Healthy_Vegan,4666,0.0008572653236176596
23,1,Healthy_Vegan,4666,0.0002143163309044149
0,2,Italian,10291,0.00019434457292780098
3,5,Italian,10291,0.0004858614323195025
4,2,Italian,10291,0.00019434457292780098
7,1,Italian,10291,9.717228646390049e-05
8,2,Italian,10291,0.00019434457292780098
10,1,Italian,10291,9.717228646390049e-05
18,823,Italian,10291,0.07997279175979011
19,3741,Italian,10291,0.36352152366145174
20,4472,Italian,10291,0.43455446506656303
21,1239,Italian,10291,0.12039646292877271
23,3,Italian,10291,0.0002915168593917015
0,4,Japanese,7716,0.0005184033177812338
4,1,Japanese,7716,0.00012960082944530845
8,1,Japanese,7716,0.00012960082944530845
9,1,Japanese,7716,0.00012960082944530845
12,4,Japanese,7716,0.0005184033177812338
13,1,Japanese,7716,0.00012960082944530845
18,2066,Japanese,7716,0.26775531363400723
19,3229,Japanese,7716,0.41848107827890096
20,2405,Japanese,7716,0.3116899948159668
23,4,Japanese,7716,0.0005184033177812338
0,1,Mexican,8853,0.00011295606009262397
3,5,Mexican,8853,0.0005647803004631198
4,2,Mexican,8853,0.00022591212018524794
7,1,Mexican,8853,0.00011295606009262397
8,2,Mexican,8853,0.00022591212018524794
12,1,Mexican,8853,0.00011295606009262397
18,884,Mexican,8853,0.09985315712187959
19,3359,Mexican,8853,0.37941940585112394
20,3396,Mexican,8853,0.383598780074551
21,1200,Mexican,8853,0.13554727211114875
23,2,Mexican,8853,0.00022591212018524794
3,1,Steakhouse,5080,0.0001968503937007874
7,1,Steakhouse,5080,0.0001968503937007874
11,1,Steakhouse,5080,0.0001968503937007874
12,1,Steakhouse,5080,0.0001968503937007874
18,1,Steakhouse,5080,0.0001968503937007874
19,1604,Steakhouse,5080,0.315748031496063
20,2479,Steakhouse,5080,0.48799212598425196
21,992,Steakhouse,5080,0.1952755905511811
