item_name,month,month_name,line_count
Iced Latte,1,Jan,104
Iced Latte,2,Feb,85
Iced Latte,3,Mar,86
Iced Latte,4,Apr,130
Iced Latte,5,May,203
Iced Latte,6,Jun,246
Iced Latte,7,Jul,274
Iced Latte,8,Aug,228
Iced Latte,9,Sep,209
Iced Latte,10,Oct,173
Iced Latte,11,Nov,134
Iced Latte,12,Dec,131
Espresso,1,Jan,151
Espresso,2,Feb,142
Espresso,3,Mar,82
Espresso,4,Apr,130
Espresso,5,May,121
Espresso,6,Jun,129
Espresso,7,Jul,153
Espresso,8,Aug,116
Espresso,9,Sep,139
Espresso,10,Oct,144
Espresso,11,Nov,139
Espresso,12,Dec,198
14oz Ribeye,1,Jan,113
14oz Ribeye,2,Feb,107
14oz Ribeye,3,Mar,98
14oz Ribeye,4,Apr,87
14oz Ribeye,5,May,88
14oz Ribeye,6,Jun,81
14oz Ribeye,7,Jul,84
14oz Ribeye,8,Aug,92
14oz Ribeye,9,Sep,88
14oz Ribeye,10,Oct,92
14oz Ribeye,11,Nov,117
14oz Ribeye,12,Dec,121
