year_month,total_revenue,order_count,month_index,trend_revenue
2023-01-01,36619.23,1401,0,39959.983528528515
2023-02-01,34183.25,1326,1,40219.225406263395
2023-03-01,36829.12,1396,2,40478.467283998274
2023-04-01,36711.44,1375,3,40737.709161733146
2023-05-01,44539.85,1747,4,40996.951039468026
2023-06-01,45439.47,1781,5,41256.192917202905
2023-07-01,50176.47,1981,6,41515.434794937784
2023-08-01,48644.94,1920,7,41774.676672672664
2023-09-01,42860.77,1718,8,42033.91855040754
2023-10-01,43933.45,1681,9,42293.160428142415
2023-11-01,37777.62,1519,10,42552.402305877295
2023-12-01,47799.55,1855,11,42811.644183612174
2024-01-01,39772.22,1537,12,43070.88606134705
2024-02-01,40025.69,1506,13,43330.12793908193
2024-03-01,35327.97,1326,14,43589.369816816805
2024-04-01,41745.77,1598,15,43848.611694551684
2024-05-01,47773.2,1870,16,44107.85357228656
2024-06-01,50321.3,1967,17,44367.09545002144
2024-07-01,50124.55,1993,18,44626.33732775632
2024-08-01,48840.2,1925,19,44885.5792054912
2024-09-01,46179.12,1809,20,45144.821083226074
2024-10-01,45452.4,1714,21,45404.06296096095
2024-11-01,42228.44,1599,22,45663.30483869583
2024-12-01,50481.69,1946,23,45922.54671643071
2025-01-01,45638.04,1708,24,46181.788594165584
2025-02-01,37266.9,1437,25,46441.03047190046
2025-03-01,29949.56,1106,26,46700.27234963534
2025-04-01,46678.47,1814,27,46959.51422737022
2025-05-01,49602.8,1910,28,47218.7561051051
2025-06-01,50115.83,1923,29,47477.99798283998
2025-07-01,54209.68,2143,30,47737.23986057485
2025-08-01,54269.33,2117,31,47996.48173830973
2025-09-01,48967.88,1879,32,48255.72361604461
2025-10-01,45547.25,1799,33,48514.96549377949
2025-11-01,44876.61,1691,34,48774.20737151436
2025-12-01,50971.73,1969,35,49033.44924924924
