weekday_num,weekday,order_count,restaurant_type,section_share
0,Mon,7081,Overall,0.11423547252605427
1,Tue,7675,Overall,0.1238182815474462
2,Wed,8105,Overall,0.13075533184912722
3,Thu,8607,Overall,0.1388539347594618
4,Fri,10059,Overall,0.1622785790339754
5,Sat,10875,Overall,0.17544284193204918
6,Sun,9584,Overall,0.15461555835188592
0,Mon,1544,American,0.10825971112045997
1,Tue,1738,American,0.12186229140373019
2,Wed,1829,American,0.1282428831860889
3,Thu,1958,American,0.13728789791053148
4,Fri,2375,American,0.1665264338802412
5,Sat,2553,American,0.1790071518721077
6,Sun,2265,American,0.15881363062684056
0,Mon,1306,Cafe,0.11746717035438028
1,Tue,1397,Cafe,0.1256520957006656
2,Wed,1419,Cafe,0.12763086886130598
3,Thu,1590,Cafe,0.1430113329735564
4,Fri,1631,Cafe,0.14669904659111352
5,Sat,1897,Cafe,0.17062421298794747
6,Sun,1878,Cafe,0.16891527253103075
0,Mon,722,Healthy_Vegan,0.15473639091298758
1,Tue,800,Healthy_Vegan,0.17145306472353194
2,Wed,749,Healthy_Vegan,0.16052293184740676
3,Thu,731,Healthy_Vegan,0.1566652378911273
4,Fri,695,Healthy_Vegan,0.14894984997856836
5,Sat,500,Healthy_Vegan,0.10715816545220745
6,Sun,469,Healthy_Vegan,0.1005143591941706
0,Mon,1141,Italian,0.11087357885531046
1,Tue,1133,Italian,0.11009620056359926
2,Wed,1340,Italian,0.13021086386162667
3,Thu,1395,Italian,0.1355553396171412
4,Fri,1790,Italian,0.1739383927703819
5,Sat,1881,Italian,0.18278107083859682
6,Sun,1611,Italian,0.1565445534933437
0,Mon,927,Japanese,0.12013996889580093
1,Tue,984,Japanese,0.12752721617418353
2,Wed,1029,Japanese,0.1333592534992224
3,Thu,1101,Japanese,0.1426905132192846
4,Fri,1159,Japanese,0.1502073613271125
5,Sat,1375,Japanese,0.17820114048729913
6,Sun,1141,Japanese,0.14787454639709693
0,Mon,992,Mexican,0.11205241161188298
1,Tue,1094,Mexican,0.12357392974133062
2,Wed,1121,Mexican,0.12662374336383148
3,Thu,1147,Mexican,0.1295606009262397
4,Fri,1464,Mexican,0.16536767197560148
5,Sat,1638,Mexican,0.18502202643171806
6,Sun,1397,Mexican,0.15779961594939568
0,Mon,449,Steakhouse,0.08838582677165355
1,Tue,529,Steakhouse,0.10413385826771654
2,Wed,618,Steakhouse,0.12165354330708661
3,Thu,685,Steakhouse,0.13484251968503938
4,Fri,945,Steakhouse,0.1860236220472441
5,Sat,1031,Steakhouse,0.20295275590551182
6,Sun,823,Steakhouse,0.16200787401574804
