iter	F1	Logloss
0	0.7017394528	0.6789648051
1	0.7754368711	0.6571282477
2	0.7753837003	0.640022257
3	0.7728995872	0.626117485
4	0.7724699009	0.6143215659
5	0.7725196152	0.604047527
6	0.7903748411	0.5895715427
7	0.7892252316	0.579604489
8	0.789835715	0.5700541591
9	0.7908300217	0.5627055847
10	0.7902930886	0.5574089147
11	0.7941602866	0.5500537324
12	0.7980555293	0.5440799786
13	0.7946130513	0.538537624
14	0.7954804126	0.5331655251
15	0.7943244911	0.5293484293
16	0.7922792985	0.5241872178
17	0.7955103279	0.5192762232
18	0.7969689313	0.5156624669
19	0.7943926264	0.5121992175
20	0.7902347725	0.5079667898
21	0.7882830051	0.5054081778
22	0.7822148616	0.5029899794
23	0.7798943977	0.5000474632
24	0.7967156142	0.4924638121
25	0.7973083379	0.4902916754
26	0.7975246773	0.4850227471
27	0.7971475121	0.4832746283
28	0.799822592	0.4802996213
29	0.8002557254	0.4787013744
30	0.7981376413	0.476822948
31	0.7986307051	0.4729836498
32	0.8008997704	0.4715962734
33	0.8013129068	0.4701184649
34	0.8018650967	0.468065652
35	0.8012020235	0.4666551879
36	0.8004469453	0.4646521871
37	0.8006788081	0.4635076697
38	0.8015347655	0.462182772
39	0.8140262842	0.451432732
40	0.8167284225	0.4491269774
41	0.8177861123	0.4482910362
42	0.8182833747	0.4473295924
43	0.8176234149	0.4457381196
44	0.8181715723	0.4441153475
45	0.8182122242	0.4432085603
46	0.8244050764	0.4347301576
47	0.8449853386	0.427430512
48	0.8448005711	0.424413774
49	0.8449648049	0.4233874161
50	0.8444567523	0.4224502547
51	0.8446211237	0.4211100638
52	0.8446005738	0.4196310428
53	0.8447136108	0.4186613043
54	0.8449603419	0.4170963459
55	0.8457457881	0.4148548576
56	0.8449500585	0.4136693569
57	0.8467256122	0.4124705173
58	0.8466432806	0.4113413047
59	0.8466021208	0.4100516022
60	0.8473132822	0.4087727451
61	0.8466329903	0.4076281356
62	0.8467976655	0.4062431947
63	0.846921214	0.4055136487
64	0.8476529816	0.4047943645
65	0.846921214	0.4038383866
66	0.8478589926	0.4032333107
67	0.8478692958	0.4021786093
68	0.8480032599	0.4014361719
69	0.848075412	0.4010423025
70	0.8480547958	0.3999487722
71	0.848106338	0.3990055767
72	0.8482713152	0.3976876226
73	0.848364143	0.3967786217
74	0.8486117833	0.3959860801
75	0.8478077011	0.3951074656
76	0.8454402597	0.393754684
77	0.8471985479	0.3933270925
78	0.8480760743	0.3879572473
79	0.8482103246	0.386864007
80	0.8483859468	0.3819765707
81	0.848489288	0.3806687286
82	0.8484789527	0.379672962
83	0.8483342857	0.3784858959
84	0.8484376143	0.3775409561
85	0.8501690593	0.3765039566
86	0.8501897443	0.3757735549
87	0.8502518055	0.3751420593
88	0.8502931846	0.374587411
89	0.8504794405	0.3729682649
90	0.8505104911	0.3722486263
91	0.8513954345	0.371225999
92	0.8538158494	0.3705576954
93	0.8555345236	0.3696251647
94	0.8556174999	0.369081124
95	0.8564233821	0.3680690755
96	0.8556174999	0.3674308213
97	0.854966099	0.3668465791
98	0.8558042556	0.3658998197
99	0.8567036184	0.3652191479
100	0.8551321174	0.3644850674
101	0.8551424956	0.3637271687
102	0.8560430065	0.3630387827
103	0.8569632601	0.3618718183
104	0.8570671608	0.3611492413
105	0.8580592402	0.3603156482
106	0.858925547	0.3594257482
107	0.8580800378	0.3582913209
108	0.8581008363	0.3575138027
109	0.8587799343	0.3567338532
110	0.8596555302	0.356098757
111	0.8589151445	0.3555596747
112	0.8589775635	0.3549114978
113	0.8597803907	0.3540951469
114	0.8590503972	0.3533511826
115	0.8598532427	0.3526559331
116	0.8600718728	0.3518692112
117	0.8601447742	0.3505932143
118	0.8601968542	0.3498959406
119	0.860217688	0.3492441576
120	0.8602801953	0.348268255
121	0.860207271	0.3477550188
122	0.8609778524	0.347055476
123	0.8610195293	0.3464584239
124	0.8609778524	0.3458508408
125	0.8611341616	0.345427654
126	0.8611237393	0.344372308
127	0.8610820523	0.3438023152
128	0.8610924736	0.3432291497
129	0.8611445843	0.3421651776
130	0.8611862773	0.3416532634
131	0.8627450507	0.3407175381
132	0.8627450507	0.3402926174
133	0.8628597728	0.3393956045
134	0.8628702036	0.3388073751
135	0.8629223614	0.3382671959
136	0.8629640922	0.3372371615
137	0.8629640922	0.3367360728
138	0.8638149258	0.3362431287
139	0.8638775524	0.3352505559
140	0.8638984299	0.3345550405
141	0.8639193084	0.3338683913
142	0.8640654865	0.333290499
143	0.8640237163	0.3325493442
144	0.8648422336	0.3318898194
145	0.8649362495	0.3311804228
146	0.8657328192	0.3306362092
147	0.8657641699	0.3302814251
148	0.8658582356	0.329714544
149	0.8651452468	0.329233316
150	0.8651556993	0.3286707555
151	0.8659314119	0.3279413039
152	0.8661405553	0.3271773632
153	0.8654170944	0.3261111271
154	0.8670930998	0.3257064618
155	0.8671140322	0.3250131346
156	0.8671559001	0.3244268245
157	0.8672815281	0.3239175483
158	0.8664858628	0.3235334337
159	0.8673338839	0.3226317289
160	0.8673129408	0.3221449888
161	0.8681913291	0.3213840951
162	0.8690686925	0.3206231327
163	0.8691106154	0.319785541
164	0.8684847496	0.3188642403
165	0.8684847496	0.3182269917
166	0.8685686204	0.3176092156
167	0.8686839693	0.3171237518
168	0.8686839693	0.3168017985
169	0.8686839693	0.3165705641
170	0.8695825274	0.3159115241
171	0.8697609387	0.3153900572
172	0.8697084572	0.3147971963
173	0.8697399453	0.3142239631
174	0.8705955691	0.3135942604
175	0.8707531031	0.3125894112
176	0.8707951218	0.311914814
177	0.8708161327	0.311445814
178	0.8708371446	0.3109757458
179	0.8709527281	0.3102314011
180	0.8710157866	0.3096162639
181	0.8710578306	0.3064344406
182	0.8710998788	0.3056005207
183	0.8719125879	0.3051063262
184	0.8719125879	0.3047663897
185	0.8717759086	0.3044729825
186	0.8718284725	0.3040313902
187	0.8728399488	0.302911059
188	0.8728609916	0.3026901622
189	0.8720282732	0.3020251866
190	0.8730188446	0.3012114582
191	0.8738189776	0.3007188185
192	0.8739453325	0.2993192948
193	0.8739453325	0.2987031489
194	0.873976927	0.2981982373
195	0.874071724	0.2974672372
196	0.8742086893	0.296836575
197	0.8749340774	0.2963743203
198	0.8758375771	0.2957049953
199	0.8774411465	0.2949289208
200	0.8774727939	0.2945690558
201	0.876729542	0.2939806139
202	0.876792836	0.2936815165
203	0.8784365898	0.2932058572
204	0.877831624	0.2921229883
205	0.8779266576	0.2913316944
206	0.8778844179	0.2910335501
207	0.8786900094	0.2906611411
208	0.8786477626	0.2900974989
209	0.8787216971	0.289429474
210	0.878816774	0.2886215351
211	0.8796002106	0.2880671546
212	0.880372017	0.2875768852
213	0.8827233729	0.2869323866
214	0.8825859015	0.2865791607
215	0.8826810694	0.2857783821
216	0.8834169079	0.2853200472
217	0.8834697936	0.2848837335
218	0.8835332649	0.2845487998
219	0.8850864408	0.2838528948
220	0.8852134624	0.2833544245
221	0.8852769868	0.2825483023
222	0.885255811	0.2817910951
223	0.8853511102	0.2813050887
224	0.8853087525	0.2806040151
225	0.8861367741	0.279122626
226	0.8861473665	0.2786564025
227	0.8862321152	0.2783681798
228	0.886338074	0.2779399843
229	0.8863168802	0.2771927796
230	0.8864228592	0.2763859733
231	0.8865288635	0.2756180327
232	0.8865076606	0.2750071888
233	0.8864546578	0.2744749017
234	0.8864546578	0.2742007355
235	0.8864652579	0.2736998778
236	0.8866030816	0.2731835283
237	0.8866242891	0.2725412198
238	0.8866348932	0.2723630164
239	0.8867621623	0.27204205
240	0.8867303416	0.2715463124
241	0.8875257072	0.2710318349
242	0.8884049415	0.2700659189
243	0.8891982632	0.2696325838
244	0.8892725838	0.2691581026
245	0.8893893984	0.2684287218
246	0.8902242327	0.2676718642
247	0.8910580637	0.2670159101
248	0.8903092367	0.266466344
249	0.8903198633	0.2660277138
250	0.8911324662	0.2654078285
251	0.8919653206	0.264722323
252	0.8919972218	0.264421281
