iter	Passed	Remaining
0	14	8210
1	28	7758
2	41	7606
3	55	7516
4	68	7451
5	83	7568
6	97	7529
7	111	7524
8	124	7493
9	139	7516
10	152	7489
11	166	7468
12	180	7452
13	195	7481
14	210	7509
15	225	7533
16	240	7532
17	255	7542
18	269	7539
19	284	7547
20	299	7534
21	314	7536
22	328	7530
23	343	7534
24	358	7535
25	374	7547
26	388	7525
27	403	7514
28	417	7507
29	432	7494
30	447	7483
31	462	7479
32	476	7463
33	490	7443
34	506	7453
35	522	7456
36	537	7449
37	551	7434
38	566	7417
39	581	7409
40	595	7393
41	610	7379
42	624	7365
43	640	7361
44	654	7342
45	669	7340
46	684	7324
47	699	7314
48	715	7314
49	731	7318
50	746	7307
51	761	7295
52	777	7289
53	794	7294
54	807	7271
55	822	7259
56	837	7246
57	852	7230
58	868	7229
59	883	7214
60	898	7201
61	912	7181
62	928	7173
63	943	7162
64	958	7148
65	973	7142
66	989	7129
67	1004	7119
68	1022	7126
69	1038	7122
70	1055	7121
71	1073	7125
72	1090	7123
73	1106	7116
74	1121	7103
75	1136	7087
76	1151	7076
77	1166	7058
78	1181	7045
79	1197	7034
80	1212	7020
81	1228	7011
82	1243	6998
83	1258	6979
84	1272	6963
85	1288	6950
86	1304	6941
87	1318	6924
88	1333	6908
89	1348	6891
90	1363	6876
91	1378	6864
92	1393	6847
93	1408	6832
94	1423	6817
95	1439	6805
96	1453	6790
97	1468	6775
98	1484	6761
99	1499	6748
100	1514	6733
101	1528	6714
102	1543	6699
103	1558	6685
104	1573	6669
105	1589	6656
106	1604	6641
107	1619	6628
108	1634	6613
109	1651	6606
110	1666	6591
111	1685	6591
112	1700	6577
113	1715	6562
114	1730	6547
115	1746	6534
116	1762	6522
117	1778	6509
118	1793	6496
119	1808	6481
120	1823	6465
121	1838	6449
122	1852	6432
123	1868	6418
124	1883	6403
125	1899	6392
126	1915	6379
127	1934	6376
128	1949	6360
129	1963	6344
130	1979	6329
131	1994	6314
132	2008	6298
133	2023	6281
134	2038	6266
135	2053	6250
136	2069	6238
137	2085	6225
138	2100	6210
139	2116	6198
140	2133	6187
141	2149	6174
142	2165	6164
143	2182	6153
144	2197	6138
145	2212	6122
146	2227	6107
147	2242	6091
148	2258	6077
149	2273	6062
150	2287	6045
151	2303	6031
152	2318	6016
153	2333	6000
154	2348	5984
155	2363	5968
156	2378	5953
157	2393	5938
158	2409	5925
159	2424	5908
160	2439	5893
161	2454	5878
162	2469	5864
163	2485	5850
164	2500	5834
165	2516	5820
166	2532	5806
167	2547	5792
168	2562	5777
169	2576	5759
170	2591	5744
171	2606	5727
172	2621	5713
173	2636	5698
174	2652	5682
175	2666	5665
176	2681	5650
177	2697	5637
178	2712	5622
179	2727	5607
180	2742	5590
181	2757	5576
182	2773	5562
183	2788	5546
184	2802	5530
185	2818	5515
186	2833	5499
187	2848	5483
188	2862	5468
189	2878	5454
190	2893	5438
191	2907	5422
192	2923	5407
193	2939	5393
194	2954	5378
195	2970	5364
196	2986	5350
197	3001	5335
198	3016	5319
199	3030	5303
200	3045	5288
201	3060	5272
202	3074	5256
203	3090	5241
204	3105	5225
205	3120	5210
206	3135	5196
207	3150	5179
208	3165	5164
209	3180	5149
210	3196	5135
211	3211	5120
212	3226	5104
213	3241	5090
214	3256	5074
215	3272	5059
216	3286	5043
217	3301	5028
218	3316	5012
219	3332	4998
220	3347	4983
221	3363	4969
222	3379	4955
223	3395	4941
224	3412	4928
225	3428	4914
226	3443	4900
227	3458	4883
228	3472	4868
229	3487	4852
230	3504	4839
231	3519	4824
232	3536	4811
233	3552	4797
234	3569	4785
235	3586	4771
236	3602	4758
237	3617	4742
238	3632	4727
239	3647	4711
240	3662	4695
241	3677	4680
242	3692	4664
243	3707	4649
244	3722	4633
245	3737	4618
246	3752	4602
247	3767	4587
248	3783	4573
249	3797	4557
250	3813	4542
251	3829	4528
252	3844	4513
253	3859	4498
254	3874	4482
255	3890	4467
256	3905	4452
257	3920	4437
258	3935	4421
259	3950	4405
260	3964	4390
261	3979	4374
262	3995	4359
263	4010	4344
264	4025	4329
265	4040	4313
266	4054	4297
267	4069	4282
268	4084	4266
269	4099	4251
270	4113	4235
271	4128	4220
272	4143	4204
273	4158	4188
274	4173	4173
275	4188	4158
276	4203	4143
277	4218	4127
278	4234	4113
279	4249	4097
280	4265	4083
281	4280	4068
282	4295	4052
283	4309	4036
284	4324	4021
285	4339	4006
286	4356	3992
287	4372	3978
288	4388	3963
289	4404	3948
290	4419	3933
291	4438	3921
292	4455	3908
293	4472	3894
294	4488	3879
295	4503	3864
296	4518	3849
297	4534	3834
298	4549	3819
299	4564	3804
300	4578	3787
301	4594	3772
302	4609	3757
303	4623	3741
304	4638	3726
305	4653	3710
306	4668	3695
307	4685	3681
308	4702	3667
309	4717	3652
310	4731	3636
311	4746	3620
312	4762	3606
313	4777	3590
314	4791	3574
315	4807	3559
316	4823	3545
317	4839	3530
318	4855	3516
319	4871	3501
320	4887	3486
321	4902	3471
322	4917	3455
323	4932	3440
324	4948	3425
325	4962	3410
326	4978	3395
327	4992	3379
328	5007	3363
329	5022	3348
330	5036	3332
331	5052	3317
332	5067	3302
333	5082	3287
334	5097	3271
335	5113	3256
336	5130	3242
337	5145	3227
338	5160	3211
339	5175	3196
340	5190	3181
341	5205	3166
342	5222	3151
343	5237	3136
344	5254	3122
345	5271	3107
346	5287	3093
347	5304	3079
348	5319	3063
349	5334	3048
350	5349	3032
351	5364	3017
352	5379	3002
353	5394	2986
354	5409	2971
355	5424	2955
356	5438	2940
357	5454	2925
358	5469	2909
359	5484	2894
360	5499	2879
361	5514	2864
362	5529	2848
363	5544	2833
364	5561	2818
365	5576	2803
366	5592	2788
367	5607	2773
368	5622	2757
369	5637	2742
370	5652	2727
371	5667	2711
372	5683	2697
373	5698	2681
374	5713	2666
375	5728	2650
376	5743	2635
377	5758	2620
378	5773	2604
379	5788	2589
380	5802	2574
381	5817	2558
382	5832	2543
383	5848	2528
384	5862	2512
385	5877	2497
386	5892	2481
387	5906	2466
388	5921	2450
389	5936	2435
390	5951	2420
391	5966	2405
392	5982	2389
393	5997	2374
394	6013	2359
395	6028	2344
396	6044	2329
397	6059	2314
398	6074	2298
399	6088	2283
400	6104	2268
401	6121	2253
402	6138	2238
403	6154	2224
404	6171	2209
405	6187	2194
406	6202	2179
407	6218	2164
408	6233	2148
409	6247	2133
410	6262	2118
411	6277	2102
412	6291	2087
413	6306	2071
414	6321	2056
415	6336	2041
416	6351	2025
417	6365	2010
418	6380	1994
419	6395	1979
420	6409	1964
421	6424	1948
422	6440	1933
423	6455	1918
424	6470	1903
425	6486	1888
426	6502	1873
427	6517	1857
428	6532	1842
429	6548	1827
430	6563	1812
431	6579	1797
432	6594	1781
433	6609	1766
434	6624	1751
435	6639	1736
436	6656	1721
437	6673	1706
438	6688	1691
439	6702	1675
440	6717	1660
441	6732	1645
442	6747	1629
443	6761	1614
444	6776	1598
445	6792	1583
446	6807	1568
447	6821	1553
448	6837	1537
449	6852	1522
450	6868	1507
451	6884	1492
452	6899	1477
453	6916	1462
454	6931	1447
455	6945	1431
456	6961	1416
457	6976	1401
458	6992	1386
459	7007	1371
460	7021	1355
461	7036	1340
462	7052	1325
463	7067	1309
464	7083	1294
465	7098	1279
466	7113	1264
467	7127	1248
468	7142	1233
469	7158	1218
470	7173	1203
471	7187	1187
472	7202	1172
473	7217	1157
474	7231	1141
475	7246	1126
476	7262	1111
477	7277	1096
478	7292	1080
479	7307	1065
480	7323	1050
481	7338	1035
482	7353	1020
483	7368	1004
484	7382	989
485	7397	974
486	7412	958
487	7427	943
488	7443	928
489	7459	913
490	7475	898
491	7492	883
492	7508	868
493	7524	852
494	7539	837
495	7553	822
496	7568	807
497	7583	791
498	7598	776
499	7611	761
500	7627	745
501	7641	730
502	7657	715
503	7672	700
504	7686	684
505	7702	669
506	7717	654
507	7732	639
508	7746	624
509	7762	608
510	7778	593
511	7794	578
512	7809	563
513	7823	547
514	7838	532
515	7853	517
516	7868	502
517	7883	487
518	7897	471
519	7912	456
520	7927	441
521	7942	426
522	7956	410
523	7972	395
524	7987	380
525	8001	365
526	8015	349
527	8030	334
528	8044	319
529	8059	304
530	8074	288
531	8088	273
532	8103	258
533	8118	243
534	8133	228
535	8148	212
536	8163	197
537	8178	182
538	8194	167
539	8209	152
540	8224	136
541	8239	121
542	8253	106
543	8268	91
544	8283	75
545	8298	60
546	8313	45
547	8329	30
548	8343	15
549	8359	0
