model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
Logistic Regression,val,balanced_f1,0.9203602112106986,0.5546218487394958,0.3707865168539326,0.4444444444444444,0.4196266548619957,0.8308612779127933,9226,53,112,66,53,112,119,0.012583271650629163,0.94,0.2640449438202247,47,0.59,0.33146067415730335,59,0.365,0.4101123595505618,73
Logistic Regression,test,balanced_f1,0.9203602112106986,0.6881720430107527,0.36363636363636365,0.4758364312267658,0.45885187076906736,0.8290000440735735,9253,29,112,64,29,112,93,0.009832945654472404,1.0,0.2840909090909091,50,0.66,0.375,66,0.39,0.4431818181818182,78
Logistic Regression,val,precision_floor_60,0.9290817635349393,0.6063829787234043,0.3202247191011236,0.41911764705882354,0.4196266548619957,0.8308612779127933,9242,37,121,57,37,121,94,0.009939727186211273,0.94,0.2640449438202247,47,0.59,0.33146067415730335,59,0.365,0.4101123595505618,73
Logistic Regression,test,precision_floor_60,0.9290817635349393,0.7294117647058823,0.3522727272727273,0.47509578544061304,0.45885187076906736,0.8290000440735735,9259,23,114,62,23,114,85,0.008987100866990907,1.0,0.2840909090909091,50,0.66,0.375,66,0.39,0.4431818181818182,78
Logistic Regression,val,precision_floor_65,0.941114068405717,0.7051282051282052,0.3089887640449438,0.4296875,0.4196266548619957,0.8308612779127933,9256,23,123,55,23,123,78,0.008247858728983821,0.94,0.2640449438202247,47,0.59,0.33146067415730335,59,0.365,0.4101123595505618,73
Logistic Regression,test,precision_floor_65,0.941114068405717,0.8405797101449275,0.32954545454545453,0.47346938775510206,0.45885187076906736,0.8290000440735735,9271,11,118,58,11,118,69,0.007295411292027913,1.0,0.2840909090909091,50,0.66,0.375,66,0.39,0.4431818181818182,78
Logistic Regression,val,precision_floor_70,0.941114068405717,0.7051282051282052,0.3089887640449438,0.4296875,0.4196266548619957,0.8308612779127933,9256,23,123,55,23,123,78,0.008247858728983821,0.94,0.2640449438202247,47,0.59,0.33146067415730335,59,0.365,0.4101123595505618,73
Logistic Regression,test,precision_floor_70,0.941114068405717,0.8405797101449275,0.32954545454545453,0.47346938775510206,0.45885187076906736,0.8290000440735735,9271,11,118,58,11,118,69,0.007295411292027913,1.0,0.2840909090909091,50,0.66,0.375,66,0.39,0.4431818181818182,78
Random Forest,val,balanced_f1,0.2693435803124211,0.8,0.3146067415730337,0.45161290322580644,0.4602865755224357,0.8558109952278371,9265,14,122,56,14,122,70,0.007401924500370096,0.92,0.25842696629213485,46,0.62,0.34831460674157305,62,0.405,0.4550561797752809,81
Random Forest,test,balanced_f1,0.2693435803124211,0.8169014084507042,0.32954545454545453,0.46963562753036436,0.5086575053682642,0.8788160369042722,9269,13,118,58,13,118,71,0.007506872488898287,0.96,0.2727272727272727,48,0.67,0.3806818181818182,67,0.415,0.4715909090909091,83
Random Forest,val,precision_floor_60,0.23258606756762465,0.6326530612244898,0.34831460674157305,0.4492753623188406,0.4602865755224357,0.8558109952278371,9243,36,116,62,36,116,98,0.010362694300518135,0.92,0.25842696629213485,46,0.62,0.34831460674157305,62,0.405,0.4550561797752809,81
Random Forest,test,precision_floor_60,0.23258606756762465,0.7241379310344828,0.35795454545454547,0.4790874524714829,0.5086575053682642,0.8788160369042722,9258,24,113,63,24,113,87,0.009198562063861281,0.96,0.2727272727272727,48,0.67,0.3806818181818182,67,0.415,0.4715909090909091,83
Random Forest,val,precision_floor_65,0.24036367436611095,0.6521739130434783,0.33707865168539325,0.4444444444444444,0.4602865755224357,0.8558109952278371,9247,32,118,60,32,118,92,0.009728243629057842,0.92,0.25842696629213485,46,0.62,0.34831460674157305,62,0.405,0.4550561797752809,81
Random Forest,test,precision_floor_65,0.24036367436611095,0.7560975609756098,0.3522727272727273,0.4806201550387597,0.5086575053682642,0.8788160369042722,9262,20,114,62,20,114,82,0.008669909071685345,0.96,0.2727272727272727,48,0.67,0.3806818181818182,67,0.415,0.4715909090909091,83
